OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
AME Itapetininga,107.0,0,0,0,0,0,0,0,0,0,0,0,9,107.0,2015
AME Promissão,105.0,0,0,0,0,0,0,0,0,0,0,0,9,105.0,2015
AME Jundiai,105.0,0,0,0,0,0,0,0,0,0,0,0,9,105.0,2015
Manuel de Abreu,104.0,0,0,0,0,0,0,0,0,0,0,0,9,104.0,2015
AME Limeira,103.0,0,0,0,0,0,0,0,0,0,0,0,9,103.0,2015
AME São João da Boa Vista,102.0,0,0,0,0,0,0,0,0,0,0,0,8,102.0,2015
AME Mogi-Guaçu,101.0,0,0,0,0,0,0,0,0,0,0,0,8,101.0,2015
AME Itapeva,99.0,0,0,0,0,0,0,0,0,0,0,0,8,99.0,2015
AME Ourinhos,96.0,0,0,0,0,0,0,0,0,0,0,0,8,96.0,2015
AME Mauá,96.0,0,0,0,0,0,0,0,0,0,0,0,8,96.0,2015
AME Casa Branca,92.0,0,0,0,0,0,0,0,0,0,0,0,8,92.0,2015
AME Barretos (CIRURGICO),91.0,0,0,0,0,0,0,0,0,0,0,0,8,91.0,2015
AME Jales,90.0,0,0,0,0,0,0,0,0,0,0,0,8,90.0,2015
AME Taboão da Serra,90.0,0,0,0,0,0,0,0,0,0,0,0,7,90.0,2015
AME Mogi das Cruzes,86.0,0,0,0,0,0,0,0,0,0,0,0,7,86.0,2015
AME Barretos Geral,86.0,0,0,0,0,0,0,0,0,0,0,0,7,86.0,2015
AME Catanduva,85.0,0,0,0,0,0,0,0,0,0,0,0,7,85.0,2015
AME Piracicaba,85.0,0,0,0,0,0,0,0,0,0,0,0,7,85.0,2015
AME Santa Fé do Sul,82.0,0,0,0,0,0,0,0,0,0,0,0,7,82.0,2015
AME Ituverava,79.0,0,0,0,0,0,0,0,0,0,0,0,7,79.0,2015
AME Assis,79.0,0,0,0,0,0,0,0,0,0,0,0,7,79.0,2015
AME Itú,76.0,0,0,0,0,0,0,0,0,0,0,0,6,76.0,2015
Rede L. Montoro S. J. Rio Preto,70.0,0,0,0,0,0,0,0,0,0,0,0,6,70.0,2015
Pai Baixada Santista,67.0,0,0,0,0,0,0,0,0,0,0,0,6,67.0,2015
Helvetia,65.0,0,0,0,0,0,0,0,0,0,0,0,5,65.0,2015
Rede L. Montoro Santos,61.0,0,0,0,0,0,0,0,0,0,0,0,5,61.0,2015
Rede L. Montoro Mogi MirIm,57.0,0,0,0,0,0,0,0,0,0,0,0,5,57.0,2015
Rede L. Montoro São J. Campos,48.0,0,0,0,0,0,0,0,0,0,0,0,4,48.0,2015
AME Fernandopolis,44.0,0,0,0,0,0,0,0,0,0,0,0,4,44.0,2015
Rede L. Montoro Pariquera Açú,23.0,0,0,0,0,0,0,0,0,0,0,0,2,23.0,2015
Rede L. Montoro Fernandopolis,12.0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,2015
Total,4.1337,0,0,0,0,0,0,0,0,0,0,0,3445,4.1337,2015
