OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
Itanhaem,282.0,0,0,0,0,0,0,0,0,0,0,0,23,282.0,2014
João Paulo II,245.0,0,0,0,0,0,0,0,0,0,0,0,20,245.0,2014
AME Bourroul,237.0,0,0,0,0,0,0,0,0,0,0,0,20,237.0,2014
Ribeirão Preto,233.0,0,0,0,0,0,0,0,0,0,0,0,19,233.0,2014
AME São Jose do Rio Preto,228.0,0,0,0,0,0,0,0,0,0,0,0,19,228.0,2014
AME Caraguatatuba,225.0,0,0,0,0,0,0,0,0,0,0,0,19,225.0,2014
AME Zona Leste,210.0,0,0,0,0,0,0,0,0,0,0,0,17,210.0,2014
AME Votuporanga,209.0,0,0,0,0,0,0,0,0,0,0,0,17,209.0,2014
Maternidade Santa Isabel,189.0,0,0,0,0,0,0,0,0,0,0,0,16,189.0,2014
CRSM de Ribeirão Preto,188.0,0,0,0,0,0,0,0,0,0,0,0,16,188.0,2014
AME Praia Grande,179.0,0,0,0,0,0,0,0,0,0,0,0,15,179.0,2014
AME São Jose dos Campos,179.0,0,0,0,0,0,0,0,0,0,0,0,15,179.0,2014
AME Presidente Prudente,175.0,0,0,0,0,0,0,0,0,0,0,0,15,175.0,2014
Porto Primavera,173.0,0,0,0,0,0,0,0,0,0,0,0,14,173.0,2014
CEADIS,170.0,0,0,0,0,0,0,0,0,0,0,0,14,170.0,2014
AME Araçatuba,169.0,0,0,0,0,0,0,0,0,0,0,0,14,169.0,2014
CRI Zona Norte,160.0,0,0,0,0,0,0,0,0,0,0,0,13,160.0,2014
AME Carapicuiba,150.0,0,0,0,0,0,0,0,0,0,0,0,13,150.0,2014
AME Jardim dos Prados,150.0,0,0,0,0,0,0,0,0,0,0,0,12,150.0,2014
AME Santos,146.0,0,0,0,0,0,0,0,0,0,0,0,12,146.0,2014
AME Atibaia,146.0,0,0,0,0,0,0,0,0,0,0,0,12,146.0,2014
AME Santo André,143.0,0,0,0,0,0,0,0,0,0,0,0,12,143.0,2014
AME Interlagos,141.0,0,0,0,0,0,0,0,0,0,0,0,12,141.0,2014
AME Andradina,139.0,0,0,0,0,0,0,0,0,0,0,0,12,139.0,2014
AME Itapevi,137.0,0,0,0,0,0,0,0,0,0,0,0,11,137.0,2014
CAISM Franco da Rocha,133.0,0,0,0,0,0,0,0,0,0,0,0,11,133.0,2014
AME Rio Claro,121.0,0,0,0,0,0,0,0,0,0,0,0,10,121.0,2014
AME Bauru,117.0,0,0,0,0,0,0,0,0,0,0,0,10,117.0,2014
Pai Zona Norte,115.0,0,0,0,0,0,0,0,0,0,0,0,10,115.0,2014
AME Franca,113.0,0,0,0,0,0,0,0,0,0,0,0,9,113.0,2014
AME Tupã,112.0,0,0,0,0,0,0,0,0,0,0,0,9,112.0,2014
AME Dracena,112.0,0,0,0,0,0,0,0,0,0,0,0,9,112.0,2014
AME Sorocaba,111.0,0,0,0,0,0,0,0,0,0,0,0,9,111.0,2014
AME Limeira,107.0,0,0,0,0,0,0,0,0,0,0,0,9,107.0,2014
AME Itapetininga,104.0,0,0,0,0,0,0,0,0,0,0,0,9,104.0,2014
AME Promissão,103.0,0,0,0,0,0,0,0,0,0,0,0,9,103.0,2014
AME Mogi-Guaçu,101.0,0,0,0,0,0,0,0,0,0,0,0,8,101.0,2014
AME Itapeva,99.0,0,0,0,0,0,0,0,0,0,0,0,8,99.0,2014
AME Ourinhos,98.0,0,0,0,0,0,0,0,0,0,0,0,8,98.0,2014
Manuel de Abreu,96.0,0,0,0,0,0,0,0,0,0,0,0,8,96.0,2014
AME Barretos (CIRURGICO),95.0,0,0,0,0,0,0,0,0,0,0,0,8,95.0,2014
AME Casa Branca,92.0,0,0,0,0,0,0,0,0,0,0,0,8,92.0,2014
AME Vila Maria,91.0,0,0,0,0,0,0,0,0,0,0,0,8,91.0,2014
AME Mauá,90.0,0,0,0,0,0,0,0,0,0,0,0,8,90.0,2014
AME São João da Boa Vista,90.0,0,0,0,0,0,0,0,0,0,0,0,7,90.0,2014
Rede Lucy Montoro S.Jose R.Preto,88.0,0,0,0,0,0,0,0,0,0,0,0,7,88.0,2014
AME Santa Fé do Sul,87.0,0,0,0,0,0,0,0,0,0,0,0,7,87.0,2014
AME Assis,87.0,0,0,0,0,0,0,0,0,0,0,0,7,87.0,2014
AME Piracicaba,85.0,0,0,0,0,0,0,0,0,0,0,0,7,85.0,2014
AME Taboão da Serra,84.0,0,0,0,0,0,0,0,0,0,0,0,7,84.0,2014
AME Jundiai,83.0,0,0,0,0,0,0,0,0,0,0,0,7,83.0,2014
AME Catanduva,83.0,0,0,0,0,0,0,0,0,0,0,0,7,83.0,2014
AME Mogi das Cruzes,81.0,0,0,0,0,0,0,0,0,0,0,0,7,81.0,2014
Instituto Emilio Ribas II,79.0,0,0,0,0,0,0,0,0,0,0,0,7,79.0,2014
AME Barretos Geral,77.0,0,0,0,0,0,0,0,0,0,0,0,6,77.0,2014
Rede L. Montoro São J. Campos,76.0,0,0,0,0,0,0,0,0,0,0,0,6,76.0,2014
AME Itú,72.0,0,0,0,0,0,0,0,0,0,0,0,6,72.0,2014
AME Jales,66.0,0,0,0,0,0,0,0,0,0,0,0,6,66.0,2014
AME Ituverava,62.0,0,0,0,0,0,0,0,0,0,0,0,5,62.0,2014
Helvetia,58.0,0,0,0,0,0,0,0,0,0,0,0,5,58.0,2014
Pai Baixada Santista,57.0,0,0,0,0,0,0,0,0,0,0,0,5,57.0,2014
Rede L. Montoro Mogi MirIm,57.0,0,0,0,0,0,0,0,0,0,0,0,5,57.0,2014
Jundiaí,51.0,0,0,0,0,0,0,0,0,0,0,0,4,51.0,2014
AME Pariquera-Açú,50.0,0,0,0,0,0,0,0,0,0,0,0,4,50.0,2014
AME Fernandopolis,45.0,0,0,0,0,0,0,0,0,0,0,0,4,45.0,2014
Rede L. Montoro Fernandopolis,36.0,0,0,0,0,0,0,0,0,0,0,0,3,36.0,2014
Rede L. Montoro Santos,35.0,0,0,0,0,0,0,0,0,0,0,0,3,35.0,2014
Rede L. Montoro Pariquera Açú,14.0,0,0,0,0,0,0,0,0,0,0,0,1,14.0,2014
Total,3.9026,0,0,0,0,0,0,0,0,0,0,0,3252,3.9026,2014
