OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
Hospital Americo Brasiliense,51,51,51,51,51,51,51,51,51,51,51,51,51,612.0,2017
Hospital Vale do Paraiba,53,53,53,53,53,53,53,53,53,53,0,53,49,583.0,2017
Hospital Universitário de Taubaté,45,45,49,49,49,49,49,49,49,48,49,49,48,579.0,2017
CEAC Zona Norte,40,44,41,47,43,47,46,46,48,47,45,44,45,538.0,2017
AME Heliopolis,44,44,44,44,44,44,44,44,44,44,45,44,44,529.0,2017
Hospital Penitenciario,40,40,40,40,40,40,40,40,40,47,40,38,40,485.0,2017
Hospital Itanhaem,27,27,27,27,27,45,35,48,48,48,48,48,38,455.0,2017
AME Maria Zelia,35,35,36,35,35,36,35,35,36,35,36,35,35,424.0,2017
CEAC Zona Sul,27,33,35,36,36,36,36,36,36,36,30,36,34,413.0,2017
Instituto Lucy Montouro,33,33,33,33,33,33,33,33,33,33,33,33,33,396.0,2017
Hospital Jundiaí,26,26,26,26,26,26,33,26,40,40,41,40,31,376.0,2017
CEAC Zona Leste,31,29,29,29,29,29,29,30,29,30,30,30,30,354.0,2017
Hospital João Paulo II,26,26,26,26,26,26,26,26,27,27,30,26,27,318.0,2017
Maternidade Santa Isabel,26,26,26,26,26,26,26,26,27,26,30,26,26,317.0,2017
Hospital Ribeirão Preto,25,25,25,25,25,25,25,25,25,25,26,25,25,301.0,2017
AME Zona Leste,23,23,23,23,23,23,23,23,23,23,23,23,23,276.0,2017
AME São Jose do Rio Preto,21,21,21,21,21,21,21,21,21,21,21,21,21,252.0,2017
CRSM de Ribeirão Preto,21,21,21,21,21,21,21,21,21,21,21,21,21,252.0,2017
AME Votuporanga,19,19,19,19,19,19,19,19,19,18,18,18,19,225.0,2017
AME Presidente Prudente,18,18,18,18,18,18,18,19,18,18,18,18,18,217.0,2017
AME Bourroul,18,18,18,18,18,18,18,18,18,18,18,18,18,216.0,2017
AME Caraguatatuba,17,17,17,21,17,17,17,17,17,17,18,17,17,209.0,2017
AME Praia Grande,17,17,17,17,17,17,17,19,18,17,18,17,17,208.0,2017
AME Araçatuba,17,17,17,17,17,18,17,17,17,17,18,17,17,206.0,2017
CEADIS,17,17,17,17,17,17,17,17,17,17,17,17,17,204.0,2017
Hospital Porto Primavera,17,17,17,17,17,17,17,17,17,17,17,17,17,204.0,2017
Instituto Emilio Ribas II,17,17,17,17,17,17,17,17,17,17,17,16,17,203.0,2017
AME Franca,15,15,15,15,15,15,15,27,15,16,15,15,16,193.0,2017
AME Santos,16,16,16,16,16,16,16,16,16,16,16,16,16,192.0,2017
AME São Jose dos Campos,16,16,16,16,16,16,16,16,16,16,16,16,16,192.0,2017
AME Atibaia,15,15,15,15,15,15,15,15,16,15,17,15,15,183.0,2017
AME Jardim dos Prados,15,15,15,15,15,15,15,15,15,16,15,15,15,181.0,2017
AME Sorocaba,15,15,15,15,15,15,15,15,15,15,16,15,15,181.0,2017
AME Santo André,14,14,14,14,14,14,14,14,14,14,15,14,14,169.0,2017
AME Carapicuiba,14,14,14,14,14,14,14,15,14,14,14,14,14,169.0,2017
CRI Zona Norte,14,14,14,14,14,14,14,14,14,14,14,14,14,168.0,2017
AME Andradina,13,13,13,13,13,15,13,13,14,14,17,13,14,164.0,2017
AME Pariquera-Açú,13,13,13,13,13,13,13,13,14,13,14,13,13,158.0,2017
AME Lorena,13,13,13,13,13,13,13,13,13,13,14,13,13,157.0,2017
Helvetia,13,13,13,13,13,13,13,13,13,13,13,13,13,156.0,2017
AME Itapevi,12,12,13,12,13,12,13,13,13,13,14,13,13,153.0,2017
AME Dracena,12,12,14,12,12,12,12,12,12,12,13,12,12,147.0,2017
AME Interlagos,12,12,12,12,12,12,12,12,12,14,12,12,12,146.0,2017
AME Tupã,12,12,12,12,12,12,12,12,12,12,12,12,12,144.0,2017
CAISM Franco da Rocha,12,12,12,12,12,12,12,12,12,12,12,12,12,144.0,2017
AME Bauru,12,12,12,12,12,11,12,12,12,12,12,12,12,143.0,2017
AME Ourinhos,12,12,12,12,12,12,12,12,12,11,11,11,12,141.0,2017
Pai Zona Norte,11,11,11,11,11,11,11,11,11,11,17,11,12,138.0,2017
AME Jundiai,11,11,11,11,11,11,11,11,12,13,13,11,11,137.0,2017
AME Itapetininga,10,10,11,11,11,11,11,11,11,13,12,11,11,133.0,2017
AME Promissão,10,10,10,10,10,10,10,10,12,11,13,10,11,126.0,2017
AME Rio Claro,10,10,10,10,10,10,10,10,10,10,11,10,10,121.0,2017
AME Mogi-Guaçu,10,10,10,10,10,10,10,10,10,10,10,10,10,120.0,2017
AME Vila Maria,10,10,10,10,10,10,10,10,10,10,10,10,10,120.0,2017
AME Santa Bárbara d`Oeste,10,10,10,10,10,10,10,10,10,10,10,10,10,120.0,2017
AME Limeira,9,9,10,10,10,10,10,10,9,10,10,10,10,117.0,2017
AME Assis,10,10,10,10,10,10,10,9,9,9,9,9,10,115.0,2017
AME Mauá,9,9,9,9,10,8,9,9,10,10,11,10,9,113.0,2017
AME Jales,9,9,9,9,9,9,9,9,10,9,12,9,9,112.0,2017
AME Itapeva,9,9,9,9,9,9,9,9,9,9,10,9,9,109.0,2017
AME Barretos Geral,9,9,9,9,9,9,9,9,9,9,10,9,9,109.0,2017
AME São João da Boa Vista,9,9,9,9,9,9,9,9,9,9,10,9,9,109.0,2017
AME Mogi das Cruzes,9,9,9,9,9,9,9,9,9,9,9,9,9,108.0,2017
Rede L. Montoro S. J. Rio Preto,9,9,9,9,9,9,9,9,8,9,9,9,9,107.0,2017
AME Casa Branca,9,9,9,8,9,8,9,9,9,9,9,9,9,106.0,2017
AME Piracicaba,8,8,8,8,8,8,8,8,8,8,10,8,8,98.0,2017
AME Itú,8,8,8,8,8,8,8,8,8,8,8,8,8,96.0,2017
AME Taboão da Serra,8,8,8,8,8,8,8,8,8,8,8,8,8,96.0,2017
AME Santa Fé do Sul,7,7,7,7,7,7,7,7,7,7,7,7,7,84.0,2017
Rede L. Montoro São J. Campos,7,7,7,7,7,7,7,7,7,7,7,7,7,84.0,2017
AME Idoso Sudeste,8,8,6,6,6,6,8,8,6,6,8,8,7,84.0,2017
AME Ituverava,7,7,7,7,7,6,7,7,7,7,7,7,7,83.0,2017
AME Catanduva,7,7,7,7,7,7,7,7,6,7,7,7,7,83.0,2017
AME Idoso Oeste,8,8,4,4,4,4,8,8,6,7,7,7,6,75.0,2017
AME Barretos (CIRURGICO),6,6,6,6,6,6,6,7,7,6,7,6,6,75.0,2017
Pai Baixada Santista,6,6,6,6,6,6,6,6,6,6,6,6,6,72.0,2017
Rede L. Montoro Mogi Mirm,5,5,5,5,5,5,5,5,5,5,0,5,5,55.0,2017
Rede L. Montoro Santos,4,4,4,4,4,4,4,4,4,4,4,4,4,48.0,2017
AME Fernandopolis,3,3,3,3,3,3,4,4,4,4,4,4,4,42.0,2017
AME Amparo,4,0,0,0,3,3,5,5,5,7,0,7,3,39.0,2017
Rede L. Montoro Pariquera Açú,2,2,2,2,2,2,2,2,2,2,2,2,2,24.0,2017
Rede L. Montoro Fernandopolis,2,2,2,2,2,2,2,2,2,2,2,2,2,24.0,2017
AME TAQUARITINGA,0,0,0,0,0,0,0,2,3,3,3,4,1,15.0,2017
Hospital Manuel de Abreu,1,1,1,1,1,1,1,1,1,1,1,1,1,12.0,2017
Total,3992,3996,4004,4010,4097,4021,4035,4098,4088,4086,4113,4032,4048,4.8572,2017
