OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
AME Amparo,5,5,5,9,9,9,9,9,9,9,9,9,8,96.0,2019
AME Mogi-Guaçu,0,3,3,10,10,10,10,10,10,10,10,10,8,96.0,2019
AME Casa Branca,3,3,3,8,18,8,9,8,10,9,9,8,8,96.0,2019
AME Assis,2,2,2,10,10,10,10,10,10,10,10,10,8,96.0,2019
AME Piracicaba,4,4,4,8,8,8,8,8,9,8,8,14,8,91.0,2019
AME SÃO CARLOS,6,7,7,7,8,8,8,8,8,8,8,8,8,91.0,2019
AME Idoso Sudeste,5,5,5,7,8,8,8,8,7,8,8,8,7,85.0,2019
AME Santa Fé do Sul,4,4,4,8,8,8,8,8,8,8,8,8,7,84.0,2019
Pai Baixada Santista,3,7,7,7,7,7,7,7,7,7,7,7,7,80.0,2019
Rede L. Montoro São J. Campos,2,7,7,7,7,7,7,7,7,7,7,7,7,79.0,2019
AME Barretos (CIRURGICO),2,2,2,8,8,8,8,8,9,8,8,8,7,79.0,2019
AME Ituverava,3,3,3,7,7,7,7,7,7,7,7,7,6,72.0,2019
AME Catanduva,0,0,0,8,8,8,8,8,8,8,8,8,6,72.0,2019
Rede L. Montoro Mogi Mirm,6,4,4,6,6,6,6,3,6,6,6,6,5,65.0,2019
Rede L. Montoro Santos,6,6,6,3,4,4,4,4,4,4,4,4,4,53.0,2019
AME Fernandopolis,4,4,4,4,4,4,4,4,4,4,4,4,4,48.0,2019
REDE LUCY MONTORO DE SOROCABA,4,4,4,4,4,4,4,4,4,4,3,4,4,47.0,2019
Rede L. Montoro Fernandopolis,3,3,3,3,3,3,3,3,3,3,3,3,3,36.0,2019
AME CAMPINAS,0,0,0,0,0,0,0,0,0,0,0,35,3,35.0,2019
Rede L. Montoro Pariquera Açú,0,0,3,3,3,3,3,3,3,3,3,3,3,30.0,2019
Rede Lucy Montoro Botucatu,2,2,2,0,1,2,2,2,2,0,0,2,1,17.0,2019
Total,4608,4564,4626,4799,4789,4759,4775,4747,4765,4705,4747,4856,4728,5.674,2019
