OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
Hospital Americo Brasiliense,53,53,53,53,53,53,53,53,53,53,53,28,51,611.0,2018
SEDI III,56,56,46,45,46,46,46,46,46,56,56,56,50,601.0,2018
Hospital Universitário de Taubaté,50,50,50,50,50,50,50,50,48,50,50,18,47,566.0,2018
HOSP. SÃO JOSÉ DOS CAMPOS,11,13,13,38,40,43,51,67,80,80,80,32,46,548.0,2018
CEAC Zona Norte,42,46,42,49,47,47,46,45,48,45,48,42,46,547.0,2018
HOSP. SOROCABA,13,16,19,31,41,68,83,84,84,0,100,0,45,539.0,2018
Hospital Jundiaí,40,41,40,40,43,44,45,45,47,47,47,47,44,526.0,2018
Hospital Penitenciario,42,42,42,42,42,42,42,42,42,42,42,42,42,504.0,2018
AME Heliopolis,45,47,46,46,46,46,46,46,43,43,43,0,41,497.0,2018
CEAC Zona Sul,35,36,35,36,36,36,36,36,36,36,36,38,36,432.0,2018
SEDI I,63,63,15,15,15,15,15,15,15,63,63,62,35,419.0,2018
AME Maria Zelia,35,36,35,35,35,35,35,35,35,37,35,18,34,406.0,2018
Instituto Lucy Montouro,33,33,33,33,33,33,33,33,33,33,26,33,32,389.0,2018
CEAC Zona Leste,30,30,30,30,30,30,30,30,30,30,30,34,30,364.0,2018
Maternidade Santa Isabel,27,27,27,27,27,27,27,27,27,36,31,27,28,337.0,2018
Hospital João Paulo II,26,29,26,25,25,26,26,26,26,26,26,26,26,313.0,2018
HOSP. PIRACICABA,42,9,10,23,30,35,40,40,40,40,0,0,26,309.0,2018
AME Zona Leste,24,24,24,24,24,24,24,24,24,24,24,24,24,288.0,2018
CRSM de Ribeirão Preto,22,22,22,22,22,22,22,22,22,29,25,25,23,277.0,2018
Hospital Ribeirão Preto,25,26,25,24,25,25,25,25,25,25,25,0,23,275.0,2018
AME São Jose do Rio Preto,23,23,23,20,23,22,23,23,23,23,23,21,23,270.0,2018
CEADIS,17,17,21,22,20,24,24,24,24,0,24,24,20,241.0,2018
AME Presidente Prudente,19,19,19,19,19,19,19,19,19,19,19,19,19,228.0,2018
AME São Jose dos Campos,17,17,17,29,16,16,16,16,16,16,16,16,17,208.0,2018
AME Votuporanga,18,18,18,18,18,18,18,18,18,18,18,9,17,207.0,2018
Hospital Porto Primavera,17,17,17,17,17,17,17,17,17,17,17,17,17,204.0,2018
AME Bourroul,18,19,19,19,18,18,18,18,18,18,18,0,17,201.0,2018
AME Caraguatatuba,17,18,17,17,17,17,17,17,17,18,17,9,17,198.0,2018
AME Praia Grande,17,17,17,17,17,17,17,17,17,17,16,9,16,195.0,2018
AME Santos,16,17,16,16,16,16,16,16,16,16,16,16,16,193.0,2018
AME Araçatuba,17,19,18,18,17,17,17,17,17,17,17,0,16,191.0,2018
Instituto Emilio Ribas II,17,17,17,17,17,17,17,17,17,17,17,0,16,187.0,2018
AME Sorocaba,15,16,16,16,15,15,15,15,15,15,15,15,15,183.0,2018
CRI Zona Norte,15,15,15,15,15,15,15,15,15,15,15,15,15,180.0,2018
AME Atibaia,15,15,15,15,15,15,15,15,15,16,15,7,14,173.0,2018
AME Jardim dos Prados,15,15,15,15,15,15,15,15,15,15,15,8,14,173.0,2018
AME Franca,15,15,16,16,15,15,15,15,15,15,15,0,14,167.0,2018
HOSPITAL DE REGIONAL DE REGISTRO,0,0,0,28,43,20,0,0,0,21,24,29,14,165.0,2018
AME Andradina,13,18,15,15,13,13,13,13,13,13,13,7,13,159.0,2018
AME Santo André,15,16,15,15,15,15,15,15,15,15,7,0,13,158.0,2018
AME Dracena,13,14,13,13,13,13,13,13,13,13,13,13,13,157.0,2018
AME Carapicuiba,14,14,14,14,14,14,14,14,14,14,14,0,13,154.0,2018
Conjunto Hospitalar de Sorocaba,0,0,0,0,0,0,0,0,5,3,72,72,13,152.0,2018
AME Itapevi,13,13,13,13,13,13,13,13,13,13,13,0,12,143.0,2018
AME Ourinhos,12,12,12,12,12,11,12,12,12,12,12,12,12,143.0,2018
AME Pariquera-Açú,13,14,14,14,13,13,13,13,13,0,13,7,12,140.0,2018
AME Bauru,12,12,12,12,12,12,12,12,12,12,12,6,12,138.0,2018
AME Interlagos,12,12,12,12,12,12,12,12,11,12,12,6,11,137.0,2018
AME Itapetininga,11,12,11,11,11,11,11,11,11,11,11,11,11,133.0,2018
AME Rio Claro,11,11,11,11,11,11,11,11,11,11,11,11,11,132.0,2018
AME Tupã,12,12,12,12,12,12,12,12,12,12,6,6,11,132.0,2018
CAISM Franco da Rocha,12,12,12,12,12,12,12,12,12,12,12,0,11,132.0,2018
Pai Zona Norte,11,11,11,11,11,11,11,11,11,11,11,11,11,132.0,2018
AME Vila Maria,11,11,11,11,11,10,11,11,11,11,11,11,11,131.0,2018
AME Jundiai,11,12,11,12,11,11,11,11,11,11,11,6,11,129.0,2018
AME Promissão,10,14,11,11,10,10,10,10,9,10,10,5,10,120.0,2018
AME Mogi-Guaçu,10,10,10,10,10,10,10,10,10,10,10,10,10,120.0,2018
AME Lorena,13,14,13,13,13,13,13,13,13,0,0,0,10,118.0,2018
AME Limeira,10,10,10,10,10,10,10,10,10,10,10,5,10,115.0,2018
AME Jales,10,11,10,10,10,10,10,10,10,10,10,0,9,111.0,2018
AME Santa Bárbara d`Oeste,10,10,10,10,10,10,10,10,10,10,10,0,9,110.0,2018
AME Itapeva,9,9,9,9,9,9,9,9,9,10,9,9,9,109.0,2018
AME Taboão da Serra,9,9,9,9,9,9,9,9,9,9,9,10,9,109.0,2018
AME Barretos Geral,9,9,9,9,9,9,9,9,9,9,9,9,9,108.0,2018
AME Assis,9,9,9,9,9,9,9,9,9,9,9,9,9,108.0,2018
AME Casa Branca,9,9,9,9,9,9,9,9,9,9,9,8,9,107.0,2018
AME Mauá,9,11,9,9,9,9,9,9,9,9,9,4,9,105.0,2018
AME São João da Boa Vista,9,9,9,9,9,9,9,9,9,9,9,5,9,104.0,2018
AME Amparo,9,9,9,9,9,9,9,9,9,9,9,5,9,104.0,2018
AME Mogi das Cruzes,9,9,9,9,9,9,9,9,9,9,9,4,9,103.0,2018
Rede L. Montoro S. J. Rio Preto,9,9,9,9,9,9,9,9,9,9,0,9,8,99.0,2018
AME SÃO VICENTE,13,3,12,0,7,8,9,11,11,11,0,14,8,99.0,2018
AME Piracicaba,8,9,8,8,8,8,8,8,8,8,8,8,8,97.0,2018
AME Itú,8,8,8,8,8,8,8,8,8,8,8,8,8,96.0,2018
AME Idoso Oeste,8,8,8,8,8,8,8,8,8,8,8,8,8,96.0,2018
Helvetia,10,10,10,10,10,10,9,10,0,0,10,0,7,89.0,2018
AME Idoso Sudeste,8,8,8,8,8,8,8,8,8,8,8,0,7,88.0,2018
AME Santa Fé do Sul,8,8,8,8,8,7,8,8,8,8,8,0,7,87.0,2018
AME Barretos (CIRURGICO),7,8,7,7,7,7,7,7,7,7,7,7,7,85.0,2018
Rede L. Montoro São J. Campos,7,7,7,7,7,7,7,7,7,7,7,7,7,84.0,2018
AME Ituverava,7,7,7,7,7,7,7,7,7,8,7,4,7,82.0,2018
Pai Baixada Santista,7,7,7,7,7,7,7,7,7,7,7,0,6,77.0,2018
AME SÃO CARLOS,12,2,4,5,5,5,6,6,6,6,6,6,6,69.0,2018
AME TAQUARITINGA,4,4,5,5,5,5,6,6,6,6,6,6,5,64.0,2018
Rede L. Montoro Santos,5,5,5,5,5,5,5,5,5,5,5,5,5,60.0,2018
Rede L. Montoro Mogi Mirm,5,5,5,5,5,5,5,5,5,5,5,5,5,60.0,2018
Ame Botucatu,0,0,0,7,1,9,5,5,7,7,7,7,5,55.0,2018
REDE LUCY MONTORO DE SOROCABA,0,0,0,1,1,25,3,4,4,9,4,4,5,55.0,2018
AME Catanduva,4,4,4,4,4,4,4,4,4,4,4,8,4,52.0,2018
AME Fernandopolis,4,4,4,4,4,4,4,4,4,4,4,4,4,48.0,2018
Rede L. Montoro Pariquera Açú,3,3,3,3,3,3,3,3,3,3,3,3,3,36.0,2018
Rede L. Montoro Fernandopolis,2,2,2,2,2,2,2,2,2,2,2,2,2,24.0,2018
Rede Lucy Montoro Botucatu,0,0,0,0,2,4,2,2,2,2,2,2,2,18.0,2018
Hospital Manuel de Abreu,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0,2018
Total,4288,4266,4181,4286,4316,4368,4360,4380,4395,4387,4449,3770,4287,5.1446,2018
