OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
Penitenciario,38,38,38,38,38,38,38,38,38,38,38,38,38,456.0,2016
AME Maria Zelia,33,33,33,31,33,33,33,33,33,33,35,31,33,394.0,2016
Instituto Lucy Montouro,32,32,32,32,32,32,32,32,32,32,32,32,32,384.0,2016
Itanhaem,26,26,26,26,26,26,26,26,26,26,26,26,26,312.0,2016
João Paulo II,25,28,25,25,25,25,25,25,26,26,26,25,26,306.0,2016
Jundiaí,25,27,25,25,25,25,25,25,25,25,25,25,25,302.0,2016
Maternidade Santa Isabel,25,25,25,25,25,25,25,25,25,25,25,25,25,300.0,2016
Ribeirão Preto,24,24,24,24,24,24,24,24,24,24,26,24,24,290.0,2016
AME Zona Leste,22,22,22,22,22,22,22,22,22,22,22,22,22,264.0,2016
AME Caraguatatuba,20,20,20,20,20,20,20,20,20,21,21,21,20,243.0,2016
AME São Jose do Rio Preto,20,20,20,20,20,20,20,20,20,20,20,20,20,240.0,2016
AME Votuporanga,19,19,19,19,19,19,19,19,19,19,19,19,19,228.0,2016
AME Bourroul,18,18,19,19,19,19,19,19,19,19,19,19,19,226.0,2016
CRSM de Ribeirão Preto,18,18,18,18,18,18,18,18,18,18,18,18,18,216.0,2016
Helvetia,6,16,6,6,18,10,20,31,20,31,25,20,17,209.0,2016
AME Araçatuba,16,16,16,16,16,16,16,16,16,17,17,17,16,195.0,2016
AME Praia Grande,16,16,16,16,16,16,16,16,16,17,17,17,16,195.0,2016
AME Santos,16,16,16,16,16,16,16,16,16,17,17,16,16,194.0,2016
Instituto Emilio Ribas II,17,17,17,17,17,17,17,17,7,17,17,17,16,194.0,2016
CEADIS,16,16,16,16,16,16,16,16,16,16,16,16,16,192.0,2016
AME Presidente Prudente,16,16,16,16,16,16,16,16,16,16,16,16,16,192.0,2016
Porto Primavera,16,16,16,16,16,16,16,16,15,16,16,16,16,191.0,2016
AME Franca,15,15,15,15,15,15,15,15,15,15,15,15,15,180.0,2016
AME Jardim dos Prados,15,15,15,15,15,15,15,15,15,15,15,15,15,180.0,2016
AME São Jose dos Campos,15,15,15,15,15,15,15,15,15,15,15,15,15,180.0,2016
AME Sorocaba,14,14,14,14,14,14,14,14,14,14,14,14,14,168.0,2016
AME Carapicuiba,14,14,14,14,14,14,14,14,14,14,14,14,14,168.0,2016
AME Santo André,14,14,13,13,14,14,14,14,13,14,14,14,14,165.0,2016
AME Pariquera-Açú,13,13,13,13,13,13,13,13,12,15,15,15,13,161.0,2016
AME Atibaia,12,12,13,13,13,13,13,13,13,14,14,15,13,158.0,2016
CRI Zona Norte,13,13,13,13,13,13,13,13,13,13,13,13,13,156.0,2016
AME Andradina,12,12,12,12,12,12,12,12,12,13,13,13,12,147.0,2016
AME Itapevi,12,12,12,12,12,15,12,12,12,12,12,12,12,147.0,2016
AME Ourinhos,12,12,12,12,12,12,12,12,12,12,12,12,12,144.0,2016
AME Tupã,11,11,12,12,12,12,12,12,12,12,12,12,12,142.0,2016
AME Dracena,11,11,11,11,11,11,11,11,11,11,12,12,11,134.0,2016
AME Bauru,11,11,11,11,11,11,11,11,11,11,11,12,11,133.0,2016
AME Jundiai,11,11,11,11,11,11,11,11,11,11,11,11,11,132.0,2016
CAISM Franco da Rocha,11,11,11,11,11,11,11,11,11,11,11,11,11,132.0,2016
Pai Zona Norte,11,11,11,11,11,11,11,11,11,11,11,11,11,132.0,2016
AME Interlagos,11,11,11,11,11,11,11,11,12,11,11,5,11,127.0,2016
AME Assis,10,10,10,10,10,10,10,10,10,11,11,10,10,122.0,2016
AME Itapetininga,10,10,10,10,10,10,10,10,10,10,10,10,10,120.0,2016
AME Vila Maria,10,10,10,10,10,10,10,10,10,10,10,10,10,120.0,2016
AME Rio Claro,10,10,10,10,10,10,10,10,10,10,10,10,10,120.0,2016
AME Mogi-Guaçu,9,9,10,10,10,10,10,10,10,10,10,10,10,118.0,2016
AME Promissão,9,9,9,9,9,9,9,9,9,10,10,10,9,111.0,2016
AME Mogi das Cruzes,9,9,9,9,9,9,9,9,9,9,9,9,9,108.0,2016
AME Itapeva,9,9,9,9,9,9,9,9,9,9,9,9,9,108.0,2016
AME Limeira,9,9,9,9,9,9,9,9,9,9,9,9,9,108.0,2016
AME Jales,9,9,9,9,9,9,9,9,9,9,9,9,9,108.0,2016
AME Barretos Geral,9,9,9,9,9,6,12,9,9,9,9,9,9,108.0,2016
AME Mauá,8,8,8,8,8,8,8,8,8,9,9,9,8,99.0,2016
AME Itú,8,8,8,8,8,8,8,8,8,8,8,8,8,96.0,2016
AME Casa Branca,8,8,8,8,8,8,8,8,8,8,8,8,8,96.0,2016
AME Taboão da Serra,8,8,8,8,8,8,8,8,8,8,8,8,8,96.0,2016
AME São João da Boa Vista,8,8,8,8,8,8,8,8,8,8,8,8,8,96.0,2016
AME Idoso Oeste,0,0,3,14,6,10,10,10,10,10,10,8,8,91.0,2016
AME Piracicaba,7,7,7,7,7,7,7,7,7,7,7,8,7,85.0,2016
AME Catanduva,7,7,7,7,7,7,6,8,7,7,7,7,7,84.0,2016
AME Santa Fé do Sul,7,7,7,7,7,7,7,7,7,7,7,7,7,84.0,2016
AME Barretos (CIRURGICO),6,6,6,6,6,6,6,6,6,6,6,7,6,73.0,2016
AME Lorena,0,0,0,0,0,0,16,13,8,11,11,13,6,72.0,2016
Pai Baixada Santista,6,6,6,6,6,6,6,6,6,6,6,6,6,72.0,2016
Rede L. Montoro São J. Campos,6,6,6,6,6,6,6,3,9,6,6,6,6,72.0,2016
Rede L. Montoro S. J. Rio Preto,6,6,6,6,6,6,6,6,6,6,6,6,6,72.0,2016
Rede L. Montoro Mogi MirIm,5,5,5,5,5,5,5,5,5,5,5,5,5,60.0,2016
AME Idoso Sudeste,0,0,0,0,0,0,12,14,4,5,6,8,4,49.0,2016
AME Ituverava,3,3,3,3,3,3,3,3,3,3,7,7,4,44.0,2016
Manuel de Abreu,9,9,9,8,1,0,0,0,0,0,0,0,3,36.0,2016
AME Fernandopolis,3,3,3,3,3,3,3,3,3,3,3,3,3,36.0,2016
Rede L. Montoro Santos,3,3,3,3,3,3,3,3,3,3,3,3,3,36.0,2016
Rede L. Montoro Fernandopolis,2,2,2,2,2,2,2,2,2,2,2,2,2,24.0,2016
Rede L. Montoro Pariquera Açú,2,2,2,2,2,2,2,2,2,2,2,2,2,24.0,2016
Total,5034,3721,3720,3714,3734,3738,3779,3788,3756,3788,3801,3790,3864,4.6363,2016
