OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
SEDI II,76,76,68,68,68,68,0,0,0,0,0,0,61,424.0,2020
CROSS,70,70,70,70,70,70,0,0,0,0,0,0,60,420.0,2020
HOSPITAL DE REGIONAL DE REGISTRO,69,69,67,67,67,67,0,0,0,0,0,0,58,406.0,2020
SEDI III,56,55,70,70,64,64,0,0,0,0,0,0,54,379.0,2020
Hospital Francisco Morato,58,58,58,58,63,63,0,0,0,0,0,0,51,358.0,2020
Hospital Vale do Paraiba,58,58,57,58,58,58,0,0,0,0,0,0,50,347.0,2020
Hospital Americo Brasiliense,56,56,56,56,56,56,0,0,0,0,0,0,48,336.0,2020
Hospital Jundiaí,52,52,52,52,52,52,0,0,0,0,0,0,45,312.0,2020
SEDI I,52,52,52,49,51,51,0,0,0,0,0,0,44,307.0,2020
AME Heliopolis,46,46,46,46,55,41,0,0,0,0,0,0,40,280.0,2020
Hospital Penitenciario,44,44,44,44,44,44,0,0,0,0,0,0,38,264.0,2020
HOSP. PIRACICABA,40,40,41,41,51,51,0,0,0,0,0,0,38,264.0,2020
CEAC Zona Norte,42,49,45,41,41,41,0,0,0,0,0,0,37,259.0,2020
Hospital de Serrana,42,42,42,42,42,42,0,0,0,0,0,0,36,252.0,2020
AME Maria Zelia,37,37,36,37,48,43,0,0,0,0,0,0,34,238.0,2020
CEAC Zona Sul,38,40,38,36,33,33,0,0,0,0,0,0,31,218.0,2020
Instituto Lucy Montouro,34,34,34,34,34,34,0,0,0,0,0,0,29,204.0,2020
HOSPITAL LITORAL NORTE,10,16,29,34,42,63,0,0,0,0,0,0,28,194.0,2020
Maternidade Santa Isabel,32,32,32,32,32,32,0,0,0,0,0,0,27,192.0,2020
CEAC Zona Leste,31,33,33,33,33,26,0,0,0,0,0,0,27,189.0,2020
Hospital Ribeirão Preto,30,30,30,30,30,30,0,0,0,0,0,0,26,180.0,2020
Hospital João Paulo II,27,27,27,27,28,28,0,0,0,0,0,0,23,164.0,2020
CRSM de Ribeirão Preto,27,27,27,27,27,27,0,0,0,0,0,0,23,162.0,2020
AME São Jose do Rio Preto,24,24,24,24,24,24,0,0,0,0,0,0,21,144.0,2020
CEADIS,22,22,22,22,22,22,0,0,0,0,0,0,19,132.0,2020
Hospital Porto Primavera,19,19,19,19,20,20,0,0,0,0,0,0,17,116.0,2020
AME Votuporanga,19,19,19,19,19,19,0,0,0,0,0,0,16,114.0,2020
AME Presidente Prudente,19,19,19,19,19,19,0,0,0,0,0,0,16,114.0,2020
AME Bourroul,18,18,18,18,18,19,0,0,0,0,0,0,16,109.0,2020
Instituto Emilio Ribas II,18,18,18,18,18,18,0,0,0,0,0,0,15,108.0,2020
AME CAMPINAS,5,9,9,12,46,23,0,0,0,0,0,0,15,104.0,2020
AME Santos,16,16,16,16,19,19,0,0,0,0,0,0,15,102.0,2020
AME São Jose dos Campos,17,17,17,17,17,17,0,0,0,0,0,0,15,102.0,2020
AME Caraguatatuba,17,17,17,17,17,17,0,0,0,0,0,0,15,102.0,2020
AME Araçatuba,16,16,16,16,16,16,0,0,0,0,0,0,14,96.0,2020
AME Atibaia,16,16,16,16,16,16,0,0,0,0,0,0,14,96.0,2020
AME Franca,16,16,16,16,16,16,0,0,0,0,0,0,14,96.0,2020
AME Praia Grande,16,16,16,16,16,16,0,0,0,0,0,0,14,96.0,2020
AME Santo André,16,16,16,16,15,15,0,0,0,0,0,0,13,94.0,2020
AME Sorocaba,15,15,15,15,15,15,0,0,0,0,0,0,13,90.0,2020
AME Jardim dos Prados,15,15,15,15,15,15,0,0,0,0,0,0,13,90.0,2020
AME Dracena,15,15,15,15,15,15,0,0,0,0,0,0,13,90.0,2020
AME Andradina,14,14,14,14,14,14,0,0,0,0,0,0,12,84.0,2020
CRI Zona Norte,14,14,14,14,14,14,0,0,0,0,0,0,12,84.0,2020
AME Lorena,14,14,14,14,14,14,0,0,0,0,0,0,12,84.0,2020
AME Carapicuiba,13,13,13,13,13,13,0,0,0,0,0,0,11,78.0,2020
AME Interlagos,13,13,13,13,13,13,0,0,0,0,0,0,11,78.0,2020
AME Itapevi,13,13,13,13,13,13,0,0,0,0,0,0,11,78.0,2020
AME Pariquera-Açú,13,13,13,13,13,13,0,0,0,0,0,0,11,78.0,2020
AME Ourinhos,12,12,12,12,12,14,0,0,0,0,0,0,11,74.0,2020
AME Itapetininga,12,12,12,12,12,12,0,0,0,0,0,0,10,72.0,2020
AME Jundiai,12,12,12,12,12,12,0,0,0,0,0,0,10,72.0,2020
AME Bauru,12,12,12,12,12,12,0,0,0,0,0,0,10,72.0,2020
AME Rio Claro,12,12,12,12,12,12,0,0,0,0,0,0,10,72.0,2020
AME Tupã,12,12,12,12,12,12,0,0,0,0,0,0,10,72.0,2020
CAISM Franco da Rocha,12,12,12,12,12,12,0,0,0,0,0,0,10,72.0,2020
Pai Zona Norte,12,12,12,12,12,12,0,0,0,0,0,0,10,72.0,2020
AME SÃO VICENTE,10,10,10,10,15,15,0,0,0,0,0,0,10,70.0,2020
AME TAQUARITINGA,11,11,11,11,11,11,0,0,0,0,0,0,9,66.0,2020
AME Vila Maria,11,11,11,11,11,11,0,0,0,0,0,0,9,66.0,2020
Helvetia,11,11,11,11,11,11,0,0,0,0,0,0,9,66.0,2020
AME Limeira,11,11,11,11,11,11,0,0,0,0,0,0,9,66.0,2020
AME Mogi-Guaçu,11,11,11,11,11,11,0,0,0,0,0,0,9,66.0,2020
AME Jales,10,10,10,10,10,10,0,0,0,0,0,0,9,60.0,2020
AME Promissão,10,10,10,10,10,10,0,0,0,0,0,0,9,60.0,2020
AME Mauá,10,10,10,10,10,10,0,0,0,0,0,0,9,60.0,2020
AME Mogi das Cruzes,10,10,10,10,10,10,0,0,0,0,0,0,9,60.0,2020
AME Barretos Geral,10,10,10,10,10,10,0,0,0,0,0,0,9,60.0,2020
AME Assis,10,10,10,10,10,10,0,0,0,0,0,0,9,60.0,2020
AME Taboão da Serra,10,10,10,12,12,6,0,0,0,0,0,0,9,60.0,2020
AME Santa Bárbara d`Oeste,10,10,10,10,10,10,0,0,0,0,0,0,9,60.0,2020
AME Amparo,10,10,10,10,10,10,0,0,0,0,0,0,9,60.0,2020
Ame Botucatu,10,10,10,10,10,10,0,0,0,0,0,0,9,60.0,2020
AME Itapeva,10,15,0,10,10,10,0,0,0,0,0,0,8,55.0,2020
AME Itú,9,9,9,9,9,9,0,0,0,0,0,0,8,54.0,2020
AME Casa Branca,9,9,9,9,9,9,0,0,0,0,0,0,8,54.0,2020
AME Idoso Oeste,9,9,9,9,9,9,0,0,0,0,0,0,8,54.0,2020
AME São João da Boa Vista,9,9,9,9,9,9,0,0,0,0,0,0,8,54.0,2020
Rede L. Montoro S. J. Rio Preto,9,9,9,9,9,9,0,0,0,0,0,0,8,54.0,2020
AME Idoso Sudeste,8,8,8,8,8,8,0,0,0,0,0,0,7,48.0,2020
AME SÃO CARLOS,8,8,8,8,8,8,0,0,0,0,0,0,7,48.0,2020
AME Santa Fé do Sul,8,8,8,8,8,8,0,0,0,0,0,0,7,48.0,2020
AME Catanduva,8,8,8,8,8,8,0,0,0,0,0,0,7,48.0,2020
AME Barretos (CIRURGICO),8,8,8,8,8,8,0,0,0,0,0,0,7,48.0,2020
AME Piracicaba,8,8,8,8,8,8,0,0,0,0,0,0,7,48.0,2020
AME Ituverava,7,7,7,7,7,7,0,0,0,0,0,0,6,42.0,2020
Rede L. Montoro São J. Campos,7,7,7,7,7,7,0,0,0,0,0,0,6,42.0,2020
Pai Baixada Santista,7,7,7,7,7,7,0,0,0,0,0,0,6,42.0,2020
Rede L. Montoro Mogi Mirm,6,6,6,6,6,6,0,0,0,0,0,0,5,36.0,2020
REDE LUCY MONTORO DE DIADEMA,2,5,20,6,0,0,0,0,0,0,0,0,5,33.0,2020
Rede L. Montoro Santos,5,5,5,5,5,5,0,0,0,0,0,0,4,30.0,2020
AME Fernandopolis,4,4,4,4,4,4,0,0,0,0,0,0,3,24.0,2020
Rede L. Montoro Pariquera Açú,3,3,3,3,3,3,0,0,0,0,0,0,3,18.0,2020
Rede L. Montoro Fernandopolis,3,3,3,3,3,3,0,0,0,0,0,0,3,18.0,2020
REDE LUCY MONTORO DE SOROCABA,3,3,3,3,3,3,0,0,0,0,0,0,3,18.0,2020
Rede Lucy Montoro Botucatu,2,2,2,2,2,2,0,0,0,0,0,0,2,12.0,2020
Total,4962,4932,4937,4936,5095,5059,0,0,0,0,0,0,4274,2.9921,2020
