Tipo,Número,Ano,Arquivo,oss,unidade,municipio,endereco,bairro,tipo,cnes,cnpj
Termo Aditivo 02/2019,2,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Conjunto Hospitalar de Sorocaba(Conjunto Hospitalar de Sorocaba),Sorocaba,"Rua Comendador Pereira Inácio, 564",Jardim Vergueiro,Hospitais,2081695,46.374.500/0014-09
Termo Aditivo 03/2019,3,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Conjunto Hospitalar de Sorocaba(Conjunto Hospitalar de Sorocaba),Sorocaba,"Rua Comendador Pereira Inácio, 564",Jardim Vergueiro,Hospitais,2081695,46.374.500/0014-09
Termo Aditivo 04/2019,4,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Conjunto Hospitalar de Sorocaba(Conjunto Hospitalar de Sorocaba),Sorocaba,"Rua Comendador Pereira Inácio, 564",Jardim Vergueiro,Hospitais,2081695,46.374.500/0014-09
Termo Aditivo 05/2019,5,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Conjunto Hospitalar de Sorocaba(Conjunto Hospitalar de Sorocaba),Sorocaba,"Rua Comendador Pereira Inácio, 564",Jardim Vergueiro,Hospitais,2081695,46.374.500/0014-09
Termo Aditivo 06/2019,6,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Conjunto Hospitalar de Sorocaba(Conjunto Hospitalar de Sorocaba),Sorocaba,"Rua Comendador Pereira Inácio, 564",Jardim Vergueiro,Hospitais,2081695,46.374.500/0014-09
Contrato de Gestão 2019,-,2019,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,"Hospital  Regional ""Domingos Leonardo Ceravolo"" de Presidente Prudente(Hospital Regional de Presidente Prudente)",Presidente Prudente,"Rua José Bongiovani, 1297",Cidade Universitária,Hospitais,2755130,53.221.255/0001-40
Termo Aditivo 01/2019,1,2019,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,"Hospital  Regional ""Domingos Leonardo Ceravolo"" de Presidente Prudente(Hospital Regional de Presidente Prudente)",Presidente Prudente,"Rua José Bongiovani, 1297",Cidade Universitária,Hospitais,2755130,53.221.255/0001-40
Termo Aditivo 01/2019 (Contrato de Gestão 2019),1,2019,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,"Hospital  Regional ""Domingos Leonardo Ceravolo"" de Presidente Prudente(Hospital Regional de Presidente Prudente)",Presidente Prudente,"Rua José Bongiovani, 1297",Cidade Universitária,Hospitais,2755130,53.221.255/0001-40
Termo Aditivo 02/2019,2,2019,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,"Hospital  Regional ""Domingos Leonardo Ceravolo"" de Presidente Prudente(Hospital Regional de Presidente Prudente)",Presidente Prudente,"Rua José Bongiovani, 1297",Cidade Universitária,Hospitais,2755130,53.221.255/0001-40
Termo Aditivo 03/2019,3,2019,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,"Hospital  Regional ""Domingos Leonardo Ceravolo"" de Presidente Prudente(Hospital Regional de Presidente Prudente)",Presidente Prudente,"Rua José Bongiovani, 1297",Cidade Universitária,Hospitais,2755130,53.221.255/0001-40
Termo Aditivo 04/2019,4,2019,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,"Hospital  Regional ""Domingos Leonardo Ceravolo"" de Presidente Prudente(Hospital Regional de Presidente Prudente)",Presidente Prudente,"Rua José Bongiovani, 1297",Cidade Universitária,Hospitais,2755130,53.221.255/0001-40
Termo Aditivo 01/2019,1,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital das Clínicas Luzia de Pinho Melo(Hospital Luzia de Pinho Melo),Mogi das Cruzes,"Rua Manoel de Oliveira, SN",Mogilar,Hospitais,2080680,46.374.500/0147-30
Termo Aditivo 02/2019,2,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital das Clínicas Luzia de Pinho Melo(Hospital Luzia de Pinho Melo),Mogi das Cruzes,"Rua Manoel de Oliveira, SN",Mogilar,Hospitais,2080680,46.374.500/0147-30
Termo Aditivo 03/2019,3,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital das Clínicas Luzia de Pinho Melo(Hospital Luzia de Pinho Melo),Mogi das Cruzes,"Rua Manoel de Oliveira, SN",Mogilar,Hospitais,2080680,46.374.500/0147-30
Contrato de Gestão 2019,-,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital de Transplantes do Estado de São Paulo Dr. Euryclides de Jesus Zerbini(Hospital Brigadeiro),São Paulo,"Avenida Brigadeiro Luiz Antônio, 2651",Jardim Paulista,Hospitais,2088576,61.699.567/0024-89
Termo Aditivo 01/2019,1,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital de Transplantes do Estado de São Paulo Dr. Euryclides de Jesus Zerbini(Hospital Brigadeiro),São Paulo,"Avenida Brigadeiro Luiz Antônio, 2651",Jardim Paulista,Hospitais,2088576,61.699.567/0024-89
Termo Aditivo 02/2019,2,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital de Transplantes do Estado de São Paulo Dr. Euryclides de Jesus Zerbini(Hospital Brigadeiro),São Paulo,"Avenida Brigadeiro Luiz Antônio, 2651",Jardim Paulista,Hospitais,2088576,61.699.567/0024-89
Termo Aditivo 01/2019,1,2019,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,"Hospital Estadual ""Dr. Albano da Franca Rocha Sobrinho"" de Franco da Rocha(Hospital de Franco da Rocha)",Franco da Rocha,"Avenida dos Coqueiros, 300",Centro,Hospitais,2092107,62.779.145/0038-81
Termo Aditivo 02/2019,2,2019,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,"Hospital Estadual ""Dr. Albano da Franca Rocha Sobrinho"" de Franco da Rocha(Hospital de Franco da Rocha)",Franco da Rocha,"Avenida dos Coqueiros, 300",Centro,Hospitais,2092107,62.779.145/0038-81
Termo Aditivo 03/2019,3,2019,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,"Hospital Estadual ""Dr. Albano da Franca Rocha Sobrinho"" de Franco da Rocha(Hospital de Franco da Rocha)",Franco da Rocha,"Avenida dos Coqueiros, 300",Centro,Hospitais,2092107,62.779.145/0038-81
Termo Aditivo 04/2019,4,2019,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,"Hospital Estadual ""Dr. Albano da Franca Rocha Sobrinho"" de Franco da Rocha(Hospital de Franco da Rocha)",Franco da Rocha,"Avenida dos Coqueiros, 300",Centro,Hospitais,2092107,62.779.145/0038-81
Termo Aditivo 05/2019,5,2019,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,"Hospital Estadual ""Dr. Albano da Franca Rocha Sobrinho"" de Franco da Rocha(Hospital de Franco da Rocha)",Franco da Rocha,"Avenida dos Coqueiros, 300",Centro,Hospitais,2092107,62.779.145/0038-81
Termo Aditivo 01/2019,1,2019,Visualizar,Fundação do ABC,"Hospital Estadual ""Professor Carlos da Silva Lacaz"" de Francisco Morato(Hospital Estadual de Francisco Morato)",Francisco Morato,"Rodovia Manoel Silvério Pinto, 125 - KM  332",Estação Belém,Hospitais,3028399,62.779.145/0014-04
Termo Aditivo 02/2019,2,2019,Visualizar,Fundação do ABC,"Hospital Estadual ""Professor Carlos da Silva Lacaz"" de Francisco Morato(Hospital Estadual de Francisco Morato)",Francisco Morato,"Rodovia Manoel Silvério Pinto, 125 - KM  332",Estação Belém,Hospitais,3028399,62.779.145/0014-04
Termo Aditivo 03/2019,3,2019,Visualizar,Fundação do ABC,"Hospital Estadual ""Professor Carlos da Silva Lacaz"" de Francisco Morato(Hospital Estadual de Francisco Morato)",Francisco Morato,"Rodovia Manoel Silvério Pinto, 125 - KM  332",Estação Belém,Hospitais,3028399,62.779.145/0014-04
Contrato de Gestão 2019,-,2019,Visualizar,Centro de Estudos e Pesquisas “Dr. João Amorim” – CEJAM,"Hospital Estadual ""Professor Carlos da Silva Lacaz"" de Francisco Morato(Hospital Estadual de Francisco Morato)",Francisco Morato,"Rodovia Manoel Silvério Pinto, 125 - KM  332",Estação Belém,Hospitais,3028399,62.779.145/0014-04
Termo Aditivo 01/2019,1,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,"Hospital Estadual ""Valdemar Sunhiga"" de Sapopemba(Hospital Estadual de Sapopemba)",São Paulo,"Rua Manuel França dos Santos, 174",Jardim Sapopemba,Hospitais,2091585,61.687.356/0025-07
Termo Aditivo 02/2019,2,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,"Hospital Estadual ""Valdemar Sunhiga"" de Sapopemba(Hospital Estadual de Sapopemba)",São Paulo,"Rua Manuel França dos Santos, 174",Jardim Sapopemba,Hospitais,2091585,61.687.356/0025-07
Termo Aditivo 03/2019,3,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,"Hospital Estadual ""Valdemar Sunhiga"" de Sapopemba(Hospital Estadual de Sapopemba)",São Paulo,"Rua Manuel França dos Santos, 174",Jardim Sapopemba,Hospitais,2091585,61.687.356/0025-07
Termo Aditivo 04/2019,4,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,"Hospital Estadual ""Valdemar Sunhiga"" de Sapopemba(Hospital Estadual de Sapopemba)",São Paulo,"Rua Manuel França dos Santos, 174",Jardim Sapopemba,Hospitais,2091585,61.687.356/0025-07
Termo Aditivo 01/2019,1,2019,Visualizar,Fundação de Apoio ao Ensino Pesquisa e Assistência  HCFMRPUSP - FAEPA,Hospital Estadual Américo Brasiliense(Hospital Estadual Américo Brasiliense),Américo Brasiliense,Alameda Aldo Lupo,Jardim Vista Alegre,Hospitais,6164366,46.374.500/0163-50
Termo Aditivo 02/2019,2,2019,Visualizar,Fundação de Apoio ao Ensino Pesquisa e Assistência  HCFMRPUSP - FAEPA,Hospital Estadual Américo Brasiliense(Hospital Estadual Américo Brasiliense),Américo Brasiliense,Alameda Aldo Lupo,Jardim Vista Alegre,Hospitais,6164366,46.374.500/0163-50
Termo Aditivo 03/2019,3,2019,Visualizar,Fundação de Apoio ao Ensino Pesquisa e Assistência  HCFMRPUSP - FAEPA,Hospital Estadual Américo Brasiliense(Hospital Estadual Américo Brasiliense),Américo Brasiliense,Alameda Aldo Lupo,Jardim Vista Alegre,Hospitais,6164366,46.374.500/0163-50
Termo Aditivo 04/2019,4,2019,Visualizar,Fundação de Apoio ao Ensino Pesquisa e Assistência  HCFMRPUSP - FAEPA,Hospital Estadual Américo Brasiliense(Hospital Estadual Américo Brasiliense),Américo Brasiliense,Alameda Aldo Lupo,Jardim Vista Alegre,Hospitais,6164366,46.374.500/0163-50
Termo Aditivo 01/2019,1,2019,Visualizar,Fundação para o Desenvolvimento Médico-Hospitalar - FAMESP,Hospital Estadual de Bauru(Hospital Estadual de Bauru),Bauru,"Av. Eng. Luis Edmundo Carrijo, 1100",Presidente Geisel,Hospitais,2790602,46.374.500/0148-10
Termo Aditivo 02/2019,2,2019,Visualizar,Fundação para o Desenvolvimento Médico-Hospitalar - FAMESP,Hospital Estadual de Bauru(Hospital Estadual de Bauru),Bauru,"Av. Eng. Luis Edmundo Carrijo, 1100",Presidente Geisel,Hospitais,2790602,46.374.500/0148-10
Termo Aditivo 03/2019,3,2019,Visualizar,Fundação para o Desenvolvimento Médico-Hospitalar - FAMESP,Hospital Estadual de Bauru(Hospital Estadual de Bauru),Bauru,"Av. Eng. Luis Edmundo Carrijo, 1100",Presidente Geisel,Hospitais,2790602,46.374.500/0148-10
Termo Aditivo 01/2019,1,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital Estadual de Diadema(Hospital Estadual de Diadema),Diadema,"Rua José Bonifácio, 1641",Serraria,Hospitais,2084163,61.699.567/0005-16
Termo Aditivo 02/2019,2,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital Estadual de Diadema(Hospital Estadual de Diadema),Diadema,"Rua José Bonifácio, 1641",Serraria,Hospitais,2084163,61.699.567/0005-16
Termo Aditivo 01/2019,1,2019,Visualizar,Fundação de Apoio ao Ensino Pesquisa e Assistência  HCFMRPUSP - FAEPA,Hospital Estadual de Ribeirão Preto(Hospital Estadual de Ribeirão Preto),Ribeirão Preto,"Av. Independência, 4750",Jardim Califórnia,Hospitais,5887623,46.374.500/0161-98
Termo Aditivo 02/2019,2,2019,Visualizar,Fundação de Apoio ao Ensino Pesquisa e Assistência  HCFMRPUSP - FAEPA,Hospital Estadual de Ribeirão Preto(Hospital Estadual de Ribeirão Preto),Ribeirão Preto,"Av. Independência, 4750",Jardim Califórnia,Hospitais,5887623,46.374.500/0161-98
Termo Aditivo 03/2019,3,2019,Visualizar,Fundação de Apoio ao Ensino Pesquisa e Assistência  HCFMRPUSP - FAEPA,Hospital Estadual de Ribeirão Preto(Hospital Estadual de Ribeirão Preto),Ribeirão Preto,"Av. Independência, 4750",Jardim Califórnia,Hospitais,5887623,46.374.500/0161-98
Termo Aditivo 04/2019,4,2019,Visualizar,Fundação de Apoio ao Ensino Pesquisa e Assistência  HCFMRPUSP - FAEPA,Hospital Estadual de Ribeirão Preto(Hospital Estadual de Ribeirão Preto),Ribeirão Preto,"Av. Independência, 4750",Jardim Califórnia,Hospitais,5887623,46.374.500/0161-98
Termo Aditivo 01/2019,1,2019,Visualizar,Fundação de Apoio ao Ensino Pesquisa e Assistência  HCFMRPUSP - FAEPA,Hospital Estadual de Serrana(Hospital Estadual de Serrana),Serrana,"Rua João Antonio Terçariol, 67",Centro,Hospitais,,
Termo Aditivo 01/2019,1,2019,Visualizar,Instituto de Responsabilidade Social Sírio Libanês,Hospital Estadual do Grajaú Professor Liberato John Alphonse Di Dio(Hospital Geral do Grajaú),São Paulo,"Rua Francsico Octávio Pacca, 180",Parque das Nações,Hospitais,2077671,60.922.168/0033-63
Termo Aditivo 02/2019,2,2019,Visualizar,Instituto de Responsabilidade Social Sírio Libanês,Hospital Estadual do Grajaú Professor Liberato John Alphonse Di Dio(Hospital Geral do Grajaú),São Paulo,"Rua Francsico Octávio Pacca, 180",Parque das Nações,Hospitais,2077671,60.922.168/0033-63
Termo Aditivo 03/2019,3,2019,Visualizar,Instituto de Responsabilidade Social Sírio Libanês,Hospital Estadual do Grajaú Professor Liberato John Alphonse Di Dio(Hospital Geral do Grajaú),São Paulo,"Rua Francsico Octávio Pacca, 180",Parque das Nações,Hospitais,2077671,60.922.168/0033-63
Termo Aditivo 04/2019,4,2019,Visualizar,Instituto de Responsabilidade Social Sírio Libanês,Hospital Estadual do Grajaú Professor Liberato John Alphonse Di Dio(Hospital Geral do Grajaú),São Paulo,"Rua Francsico Octávio Pacca, 180",Parque das Nações,Hospitais,2077671,60.922.168/0033-63
Termo Aditivo 01/2019,1,2019,Visualizar,Fundação do ABC,Hospital Estadual Mário Covas de Santo André(Hospital Estadual de Santo André),Santo André,"Rua Dr. Henrique Calderazzo, 321",Paraíso,Hospitais,2080273,57.571.275/0006-07
Termo Aditivo 02/2019,2,2019,Visualizar,Fundação do ABC,Hospital Estadual Mário Covas de Santo André(Hospital Estadual de Santo André),Santo André,"Rua Dr. Henrique Calderazzo, 321",Paraíso,Hospitais,2080273,57.571.275/0006-07
Termo Aditivo 03/2019,3,2019,Visualizar,Fundação do ABC,Hospital Estadual Mário Covas de Santo André(Hospital Estadual de Santo André),Santo André,"Rua Dr. Henrique Calderazzo, 321",Paraíso,Hospitais,2080273,57.571.275/0006-07
Termo Aditivo 04/2019,4,2019,Visualizar,Fundação do ABC,Hospital Estadual Mário Covas de Santo André(Hospital Estadual de Santo André),Santo André,"Rua Dr. Henrique Calderazzo, 321",Paraíso,Hospitais,2080273,57.571.275/0006-07
Termo Aditivo 05/2019,5,2019,Visualizar,Fundação do ABC,Hospital Estadual Mário Covas de Santo André(Hospital Estadual de Santo André),Santo André,"Rua Dr. Henrique Calderazzo, 321",Paraíso,Hospitais,2080273,57.571.275/0006-07
Termo Aditivo 06/2019,6,2019,Visualizar,Fundação do ABC,Hospital Estadual Mário Covas de Santo André(Hospital Estadual de Santo André),Santo André,"Rua Dr. Henrique Calderazzo, 321",Paraíso,Hospitais,2080273,57.571.275/0006-07
Termo Aditivo 01/2019,1,2019,Visualizar,Associação da Irmandade da Santa Casa de Misericórdia de Pacaembu,"Hospital Geral ""Dr. Francisco de Moura Coutinho"" de Carapicuiba(Hospital Geral de Carapicuíba)",Carapicuíba,"Rua Pedreira, 95",Parque José Alexandre,Hospitais,2792168,60.598.448/0004-23
Termo Aditivo 02/2019,2,2019,Visualizar,Associação da Irmandade da Santa Casa de Misericórdia de Pacaembu,"Hospital Geral ""Dr. Francisco de Moura Coutinho"" de Carapicuiba(Hospital Geral de Carapicuíba)",Carapicuíba,"Rua Pedreira, 95",Parque José Alexandre,Hospitais,2792168,60.598.448/0004-23
Termo Aditivo 03/2019,3,2019,Visualizar,Associação da Irmandade da Santa Casa de Misericórdia de Pacaembu,"Hospital Geral ""Dr. Francisco de Moura Coutinho"" de Carapicuiba(Hospital Geral de Carapicuíba)",Carapicuíba,"Rua Pedreira, 95",Parque José Alexandre,Hospitais,2792168,60.598.448/0004-23
Termo Aditivo 04/2019,4,2019,Visualizar,Associação da Irmandade da Santa Casa de Misericórdia de Pacaembu,"Hospital Geral ""Dr. Francisco de Moura Coutinho"" de Carapicuiba(Hospital Geral de Carapicuíba)",Carapicuíba,"Rua Pedreira, 95",Parque José Alexandre,Hospitais,2792168,60.598.448/0004-23
Termo Aditivo 05/2019,5,2019,Visualizar,Associação da Irmandade da Santa Casa de Misericórdia de Pacaembu,"Hospital Geral ""Dr. Francisco de Moura Coutinho"" de Carapicuiba(Hospital Geral de Carapicuíba)",Carapicuíba,"Rua Pedreira, 95",Parque José Alexandre,Hospitais,2792168,60.598.448/0004-23
Contrato de Gestão 2019,-,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,"Hospital Geral de Guarulhos ""Professor Waldemar de Carvalho Pinto Filho""(Hospital Geral de Guarulhos)",Guarulhos,"Alameda dos Lírios, 200",CECAP,Hospitais,2080338,62.779.145/0001-90
Termo Aditivo 01/2019,1,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,"Hospital Geral de Guarulhos ""Professor Waldemar de Carvalho Pinto Filho""(Hospital Geral de Guarulhos)",Guarulhos,"Alameda dos Lírios, 200",CECAP,Hospitais,2080338,62.779.145/0001-90
Termo Aditivo 02/2019,2,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,"Hospital Geral de Guarulhos ""Professor Waldemar de Carvalho Pinto Filho""(Hospital Geral de Guarulhos)",Guarulhos,"Alameda dos Lírios, 200",CECAP,Hospitais,2080338,62.779.145/0001-90
Termo Aditivo 03/2019,3,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,"Hospital Geral de Guarulhos ""Professor Waldemar de Carvalho Pinto Filho""(Hospital Geral de Guarulhos)",Guarulhos,"Alameda dos Lírios, 200",CECAP,Hospitais,2080338,62.779.145/0001-90
Termo Aditivo 04/2019,4,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,"Hospital Geral de Guarulhos ""Professor Waldemar de Carvalho Pinto Filho""(Hospital Geral de Guarulhos)",Guarulhos,"Alameda dos Lírios, 200",CECAP,Hospitais,2080338,62.779.145/0001-90
Termo Aditivo 01/2019,1,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Hospital Geral de Itapecerica da Serra(Hospital Geral de Itapecerica da Serra),Itapecerica da Serra,"Avenida Guacy Fernades Domingues, 200",Embu Mirim,Hospitais,2792176,61.687.356/0014-54
Termo Aditivo 02/2019,2,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Hospital Geral de Itapecerica da Serra(Hospital Geral de Itapecerica da Serra),Itapecerica da Serra,"Avenida Guacy Fernades Domingues, 200",Embu Mirim,Hospitais,2792176,61.687.356/0014-54
Termo Aditivo 03/2019,3,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Hospital Geral de Itapecerica da Serra(Hospital Geral de Itapecerica da Serra),Itapecerica da Serra,"Avenida Guacy Fernades Domingues, 200",Embu Mirim,Hospitais,2792176,61.687.356/0014-54
Termo Aditivo 04/2019,4,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Hospital Geral de Itapecerica da Serra(Hospital Geral de Itapecerica da Serra),Itapecerica da Serra,"Avenida Guacy Fernades Domingues, 200",Embu Mirim,Hospitais,2792176,61.687.356/0014-54
Termo Aditivo 01/2019,1,2019,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social,Hospital Geral de Itapeví(Hospital Geral de Itapeví),Itapevi,"Rua Ari Barroso, sem no",Jardim Nova Itapevi,Hospitais,2078104,60.598.448/0001-80
Termo Aditivo 02/2019,2,2019,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social,Hospital Geral de Itapeví(Hospital Geral de Itapeví),Itapevi,"Rua Ari Barroso, sem no",Jardim Nova Itapevi,Hospitais,2078104,60.598.448/0001-80
Termo Aditivo 03/2019,3,2019,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social,Hospital Geral de Itapeví(Hospital Geral de Itapeví),Itapevi,"Rua Ari Barroso, sem no",Jardim Nova Itapevi,Hospitais,2078104,60.598.448/0001-80
Termo Aditivo 04/2019,4,2019,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social,Hospital Geral de Itapeví(Hospital Geral de Itapeví),Itapevi,"Rua Ari Barroso, sem no",Jardim Nova Itapevi,Hospitais,2078104,60.598.448/0001-80
Termo Aditivo 01/2019,1,2019,Visualizar,Casa de Saúde Santa Marcelina,Hospital Geral de Itaquaquecetuba(Hospital Geral de Itaquaquecetuba),Itaquaquecetuba,"Rua Rio Negro,  48",Jardim Nova Itaqua,Hospitais,2078562,60.742.616/0007-55
Termo Aditivo 02/2019,2,2019,Visualizar,Casa de Saúde Santa Marcelina,Hospital Geral de Itaquaquecetuba(Hospital Geral de Itaquaquecetuba),Itaquaquecetuba,"Rua Rio Negro,  48",Jardim Nova Itaqua,Hospitais,2078562,60.742.616/0007-55
Termo Aditivo 03/2019,3,2019,Visualizar,Casa de Saúde Santa Marcelina,Hospital Geral de Itaquaquecetuba(Hospital Geral de Itaquaquecetuba),Itaquaquecetuba,"Rua Rio Negro,  48",Jardim Nova Itaqua,Hospitais,2078562,60.742.616/0007-55
Termo Aditivo 04/2019,4,2019,Visualizar,Casa de Saúde Santa Marcelina,Hospital Geral de Itaquaquecetuba(Hospital Geral de Itaquaquecetuba),Itaquaquecetuba,"Rua Rio Negro,  48",Jardim Nova Itaqua,Hospitais,2078562,60.742.616/0007-55
Termo Aditivo 01/2019,1,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital Geral de Pedreira(Hospital Geral de Pedreira),São Paulo,"Rua João Francisco de Moura, 251",Vila Campo Grande,Hospitais,2066092,60.922.168/0021-20
Termo Aditivo 02/2019,2,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital Geral de Pedreira(Hospital Geral de Pedreira),São Paulo,"Rua João Francisco de Moura, 251",Vila Campo Grande,Hospitais,2066092,60.922.168/0021-20
Termo Aditivo 01/2019,1,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital Geral de Pirajussara(Hospital Geral de Pirajussara),Taboão da Serra,"Avenida Ibirama, 1214",Vila Pirajussara,Hospitais,2079828,61.699.567/0004-35
Termo Aditivo 02/2019,2,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital Geral de Pirajussara(Hospital Geral de Pirajussara),Taboão da Serra,"Avenida Ibirama, 1214",Vila Pirajussara,Hospitais,2079828,61.699.567/0004-35
Termo Aditivo 03/2019,3,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital Geral de Pirajussara(Hospital Geral de Pirajussara),Taboão da Serra,"Avenida Ibirama, 1214",Vila Pirajussara,Hospitais,2079828,61.699.567/0004-35
Termo Aditivo 04/2019,4,2019,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Hospital Geral de Pirajussara(Hospital Geral de Pirajussara),Taboão da Serra,"Avenida Ibirama, 1214",Vila Pirajussara,Hospitais,2079828,61.699.567/0004-35
