UGE,UO,Pessoal/Encargos Sociais,Custeio,Investimento,Total,ano
Hospital Estadual Dr. Oswaldo B. Faria,Coordenadoria de Serviços de Saúde,22.027.150,4.739.149,290.194,27.056.494,2016
Hospital Estadual de Presidente Prudente,Coordenadoria de Serviços de Saúde,19.880.265,6.612.365,158.582,26.651.212,2016
DRS II Araçatuba,Coordenadoria de Regiões de Saúde,14.245.890,12.236.656,0,26.482.546,2016
DRS XIV S.J.Boa Vista,Coordenadoria de Regiões de Saúde,12.774.908,13.273.916,0,26.048.825,2016
Hospital - Agua Funda,Coordenadoria de Serviços de Saúde,19.149.097,5.678.768,130.076,24.957.941,2016
CAIS - Profº Cantídio de Moura Campos,Coordenadoria de Serviços de Saúde,17.850.081,3.478.432,103.247,21.431.760,2016
DRS III Araraquara,Coordenadoria de Regiões de Saúde,10.630.453,9.069.886,0,19.700.339,2016
Hospital Nestor Goulart Reis,Coordenadoria de Serviços de Saúde,12.564.761,5.208.526,28.733,17.802.020,2016
Gabinete do Coordenador CRS,Coordenadoria de Regiões de Saúde,11.733.546,4.162.082,37.077,15.932.704,2016
Instituto de Geriatria e Gerontologia,Coordenadoria de Serviços de Saúde,12.432.644,2.086.379,31.257,14.550.280,2016
CEDEME,Coordenadoria de Serviços de Saúde,13.860.976,426.952,0,14.287.928,2016
DRS XII Registro,Coordenadoria de Regiões de Saúde,11.854.790,1.518.787,0,13.373.577,2016
CCD - Gabinete do Coordenador,Coordenadoria de Controle de Doenças,9.393.494,2.874.585,519.018,12.787.098,2016
CRATOD,Coordenadoria de Serviços de Saúde,7.742.081,3.829.682,95.412,11.667.175,2016
Instituto Pasteur,Coordenadoria de Controle de Doenças,8.148.565,2.442.619,295.315,10.886.498,2016
Centro Pioneiro em Atenção Psicossocial-AJJE,Coordenadoria de Serviços de Saúde,8.829.724,1.797.470,12.696,10.639.889,2016
Instituto de Saúde,Coordenadoria de Insumos Estratégicos,9.410.521,1.135.606,0,10.546.128,2016
Fundação Oncocentro,Oncocentro,6.946.368,3.021.136,14.635,9.982.139,2016
Hospital Brigadeiro,Coordenadoria de Serviços de Saúde,9.327.824,0,0,9.327.824,2016
Instituto Clemente Ferreira,Coordenadoria de Serviços de Saúde,6.867.343,2.107.747,13.376,8.988.466,2016
Fesima - Conselho Administrativo,Fesima,0,6.560.032,58.126,6.618.158,2016
Coordenadoria de Planejamento de Saúde,Administração Superior Secretaria e Sede,4.576.451,95.249,0,4.671.700,2016
,Coordenadoria de Serviços de Saúde,3.835.863,0,0,3.835.863,2016
,Coordenadoria de Serviços de Saúde,2.936.842,0,0,2.936.842,2016
Grupo de Resgate e Atenção as Urgenc. Emergenc.,Coordenadoria de Serviços de Saúde,36.814,0,0,36.814,2016
Total,Total,5.497.049.789,8.120.648.659,400.732.529,14.018.430.977,2016
