UGE,UO,Pessoal/Encargos Sociais,Custeio,Investimento,Total,ano
DRS XVI Sorocaba,Coordenadoria de Regiões de Saúde,16.990.559,29.168.499,4.400,46.163.458,2017
DRS IX Marilia,Coordenadoria de Regiões de Saúde,21.293.973,22.908.941,30.827,44.233.741,2017
Hospital Geral de Promissão,Coordenadoria de Serviços de Saúde,25.741.611,12.410.524,48.436,38.200.571,2017
CAIS - Clemente Ferreira,Coordenadoria de Serviços de Saúde,31.896.098,5.488.998,43.936,37.429.032,2017
"Hospital Santa Tereza, Ribeirão Preto",Coordenadoria de Serviços de Saúde,25.637.217,11.608.009,80.103,37.325.329,2017
Centro de Reabilitação de Casa Branca,Coordenadoria de Serviços de Saúde,29.809.410,5.653.465,219.124,35.681.999,2017
Instituto Lauro de Souza Lima,Coordenadoria de Serviços de Saúde,22.023.216,12.354.302,228.897,34.606.415,2017
CAIS - Santa Rita do Passa Quatro,Coordenadoria de Serviços de Saúde,26.753.603,6.921.219,148.990,33.823.812,2017
DRS XVII Taubaté,Coordenadoria de Regiões de Saúde,18.541.951,14.806.939,23.255,33.372.144,2017
DRS XI Presidente Prudente,Coordenadoria de Regiões de Saúde,14.352.670,18.865.698,4.400,33.222.768,2017
DRS IV B.Santista,Coordenadoria de Regiões de Saúde,13.762.963,18.581.296,23.351,32.367.610,2017
Hospital das Clínicas de Marília,HC Marilia,194.656,31.783.462,0,31.978.117,2017
Hospital Estadual Dr. Oswaldo B. Faria,Coordenadoria de Serviços de Saúde,22.786.602,8.094.802,143.129,31.024.533,2017
Hospital Estadual de Presidente Prudente,Coordenadoria de Serviços de Saúde,23.300.923,7.271.948,19.325,30.592.196,2017
Hospital Dr. Francisco Ribeiro Arantes,Coordenadoria de Serviços de Saúde,16.803.770,13.479.172,116.740,30.399.682,2017
DRS X Piracicaba,Coordenadoria de Regiões de Saúde,11.816.890,18.124.570,9.778,29.951.238,2017
DRS VIII Franca,Coordenadoria de Regiões de Saúde,10.448.713,19.441.874,2.300,29.892.887,2017
DRS V Barretos,Coordenadoria de Regiões de Saúde,9.603.623,19.342.878,9.650,28.956.151,2017
CAISM - Phillipe Pinel,Coordenadoria de Serviços de Saúde,22.920.463,5.522.486,145.081,28.588.030,2017
DRS II Araçatuba,Coordenadoria de Regiões de Saúde,13.685.305,14.440.763,28.210,28.154.277,2017
DRS XIV S.J.Boa Vista,Coordenadoria de Regiões de Saúde,12.232.371,15.708.846,26.732,27.967.949,2017
Grupo de Gerenciamento Administrativo,Coordenadoria de Controle de Doenças,14.969.965,12.238.515,204.507,27.412.987,2017
Hospital - Agua Funda,Coordenadoria de Serviços de Saúde,19.910.726,6.081.742,34.230,26.026.698,2017
Gabinete do Coordenador - CSS,Coordenadoria de Serviços de Saúde,11.523.065,9.768.321,1.340.956,22.632.342,2017
CAIS - Profº Cantídio de Moura Campos,Coordenadoria de Serviços de Saúde,18.931.463,3.244.319,34.587,22.210.369,2017
Gabinete do Coordenador CRS,Coordenadoria de Regiões de Saúde,12.058.655,5.262.628,3.838.364,21.159.647,2017
DRS III Araraquara,Coordenadoria de Regiões de Saúde,10.242.730,10.303.981,26.208,20.572.919,2017
Grupo de Resgate e Atenção as Urgenc. Emergenc.,Coordenadoria de Serviços de Saúde,15.159.938,4.112.989,177.761,19.450.688,2017
Hospital Nestor Goulart Reis,Coordenadoria de Serviços de Saúde,13.153.544,4.921.907,83.076,18.158.527,2017
CEDEME,Coordenadoria de Serviços de Saúde,14.959.866,13.823,0,14.973.688,2017
Instituto de Geriatria e Gerontologia,Coordenadoria de Serviços de Saúde,11.931.922,2.099.483,89.107,14.120.512,2017
DRS XII Registro,Coordenadoria de Regiões de Saúde,11.226.913,2.115.976,1.150,13.344.039,2017
CRATOD,Coordenadoria de Serviços de Saúde,7.488.327,4.501.838,34.121,12.024.286,2017
CCD - Gabinete do Coordenador,Coordenadoria de Controle de Doenças,7.248.745,4.723.989,0,11.972.734,2017
Centro Pioneiro em Atenção Psicossocial-AJJE,Coordenadoria de Serviços de Saúde,9.037.985,1.893.511,8.676,10.940.172,2017
Instituto Pasteur,Coordenadoria de Controle de Doenças,7.850.916,2.957.099,46.752,10.854.767,2017
Instituto de Saúde,Coordenadoria de Insumos Estratégicos,9.366.643,1.109.428,0,10.476.071,2017
Fundação Oncocentro,Oncocentro,7.056.094,3.194.481,28.875,10.279.451,2017
Hospital Brigadeiro,Coordenadoria de Serviços de Saúde,9.506.229,0,0,9.506.229,2017
Instituto Clemente Ferreira,Coordenadoria de Serviços de Saúde,6.907.314,1.832.790,22.246,8.762.350,2017
Fesima - Conselho Administrativo,Fesima,0,7.087.708,47.520,7.135.228,2017
Coordenadoria de Planejamento de Saúde,Administração Superior Secretaria e Sede,4.336.590,11.214,0,4.347.804,2017
,Coordenadoria de Serviços de Saúde,3.616.213,0,0,3.616.213,2017
,Coordenadoria de Serviços de Saúde,2.602.569,0,0,2.602.569,2017
Total,Total,5.238.284.174,9.325.777.868,793.345.612,15.357.407.654,2017
