UGE,UO,Pessoal/Encargos Sociais,Custeio,Investimento,Total,ano
DRS XIII Ribeirão Preto,Coordenadoria de Regiões de Saúde,18.467.679,30.112.703,91.913,48.672.295,2015
DRS XVI Sorocaba,Coordenadoria de Regiões de Saúde,18.995.622,24.463.040,4.380,43.463.042,2015
DRS IX Marilia,Coordenadoria de Regiões de Saúde,19.549.927,19.761.359,0,39.311.286,2015
Hospital Geral de Promissão,Coordenadoria de Serviços de Saúde,26.248.469,9.149.279,2.983.048,38.380.796,2015
"Hospital Santa Tereza, Ribeirão Preto",Coordenadoria de Serviços de Saúde,26.205.768,9.995.660,1.042.693,37.244.121,2015
CAIS - Clemente Ferreira,Coordenadoria de Serviços de Saúde,31.342.600,5.059.469,137.466,36.539.535,2015
Centro de Reabilitação de Casa Branca,Coordenadoria de Serviços de Saúde,29.727.300,5.611.129,135.793,35.474.223,2015
Instituto Lauro de Souza Lima,Coordenadoria de Serviços de Saúde,22.861.057,11.270.075,0,34.131.131,2015
DRS XI Presidente Prudente,Coordenadoria de Regiões de Saúde,15.378.988,18.489.733,0,33.868.721,2015
CAIS - Santa Rita do Passa Quatro,Coordenadoria de Serviços de Saúde,25.996.464,6.446.164,15.400,32.458.028,2015
DRS XVII Taubaté,Coordenadoria de Regiões de Saúde,20.351.677,10.882.513,0,31.234.189,2015
Gabinete do Coordenador - CSS,Coordenadoria de Serviços de Saúde,22.250.634,8.033.769,436.653,30.721.056,2015
DRS IV B.Santista,Coordenadoria de Regiões de Saúde,15.350.948,14.368.536,0,29.719.484,2015
Hospital Dr. Francisco Ribeiro Arantes,Coordenadoria de Serviços de Saúde,16.474.978,11.904.543,112.623,28.492.145,2015
Hospital Estadual Dr. Oswaldo B. Faria,Coordenadoria de Serviços de Saúde,23.184.227,4.390.331,885.330,28.459.888,2015
CAISM - Phillipe Pinel,Coordenadoria de Serviços de Saúde,22.988.913,5.268.770,64.735,28.322.417,2015
DRS X Piracicaba,Coordenadoria de Regiões de Saúde,13.401.799,13.566.071,0,26.967.870,2015
DRS VIII Franca,Coordenadoria de Regiões de Saúde,12.506.124,14.439.714,2.750,26.948.588,2015
DRS V Barretos,Coordenadoria de Regiões de Saúde,10.037.104,16.075.496,0,26.112.600,2015
Hospital Estadual de Presidente Prudente,Coordenadoria de Serviços de Saúde,20.258.994,5.164.286,62.964,25.486.244,2015
Hospital - Agua Funda,Coordenadoria de Serviços de Saúde,20.147.766,4.922.360,121.847,25.191.973,2015
DRS II Araçatuba,Coordenadoria de Regiões de Saúde,14.340.794,10.519.433,0,24.860.227,2015
Grupo de Gerenciamento Administrativo,Coordenadoria de Controle de Doenças,15.164.107,8.985.065,699.728,24.848.901,2015
DRS XIV S.J.Boa Vista,Coordenadoria de Regiões de Saúde,13.148.423,11.316.073,66.405,24.530.902,2015
CAIS - Profº Cantídio de Moura Campos,Coordenadoria de Serviços de Saúde,18.373.735,3.346.008,109.638,21.829.381,2015
DRS III Araraquara,Coordenadoria de Regiões de Saúde,10.844.917,9.476.536,0,20.321.453,2015
Hospital Nestor Goulart Reis,Coordenadoria de Serviços de Saúde,12.643.775,4.729.519,34.753,17.408.047,2015
Gabinete do Coordenador CRS,Coordenadoria de Regiões de Saúde,11.154.520,4.155.318,996.788,16.306.626,2015
Instituto de Geriatria e Gerontologia,Coordenadoria de Serviços de Saúde,13.688.311,2.249.442,81.045,16.018.797,2015
CEDEME,Coordenadoria de Serviços de Saúde,14.111.894,293.033,0,14.404.927,2015
DRS XII Registro,Coordenadoria de Regiões de Saúde,11.938.073,1.756.313,0,13.694.386,2015
Instituto Pasteur,Coordenadoria de Controle de Doenças,8.295.448,2.605.681,802.148,11.703.278,2015
CRATOD,Coordenadoria de Serviços de Saúde,8.173.849,3.341.662,25.451,11.540.962,2015
CCD - Gabinete do Coordenador,Coordenadoria de Controle de Doenças,8.011.504,2.644.235,44.525,10.700.263,2015
Instituto de Saúde,Coordenadoria de Insumos Estratégicos,9.439.153,1.095.907,11.313,10.546.373,2015
Hospital Brigadeiro,Coordenadoria de Serviços de Saúde,10.267.739,0,0,10.267.739,2015
Fundação Oncocentro,Oncocentro,7.386.101,2.794.656,40.660,10.221.417,2015
Centro Pioneiro em Atenção Psicossocial-AJJE,Coordenadoria de Serviços de Saúde,8.421.377,1.710.750,43.334,10.175.461,2015
Instituto Clemente Ferreira,Coordenadoria de Serviços de Saúde,7.083.581,2.397.815,18.996,9.500.392,2015
Fesima - Conselho Administrativo,Fesima,0,6.828.780,420,6.829.200,2015
Coordenadoria de Planejamento de Saúde,Administração Superior Secretaria e Sede,4.757.130,42.479,475,4.800.084,2015
,Coordenadoria de Serviços de Saúde,4.172.489,0,0,4.172.489,2015
,Coordenadoria de Serviços de Saúde,3.405.412,0,0,3.405.412,2015
Total,Total,5.233.064.955,7.784.110.254,348.684.495,13.365.859.703,2015
