UGE,UO,Pessoal/Encargos Sociais,Custeio,Investimento,Total,ano
Hospital Infantil Cândido Fontoura,Coordenadoria de Serviços de Saúde,47.244.293,11.110.984,276.939,58.632.215,2018
DRS VII Campinas,Coordenadoria de Regiões de Saúde,21.689.925,35.668.188,7.910,57.366.023,2018
Centro de Vigilância Epidemiológica,Coordenadoria de Controle de Doenças,44.248.322,10.285.780,259.860,54.793.962,2018
Hospital e Maternidade Interlagos,Coordenadoria de Serviços de Saúde,35.359.529,16.348.528,451.651,52.159.709,2018
DRS VI Bauru,Coordenadoria de Regiões de Saúde,27.471.222,23.654.043,0,51.125.265,2018
DRS XIII Ribeirão Preto,Coordenadoria de Regiões de Saúde,16.636.322,30.706.707,3.499,47.346.528,2018
DRS IX Marilia,Coordenadoria de Regiões de Saúde,18.776.792,24.001.357,24.104,42.802.253,2018
DRS XVI Sorocaba,Coordenadoria de Regiões de Saúde,15.912.300,26.480.691,0,42.392.991,2018
CAIS - Clemente Ferreira,Coordenadoria de Serviços de Saúde,32.019.385,5.447.828,21.438,37.488.652,2018
"Hospital Santa Tereza, Ribeirão Preto",Coordenadoria de Serviços de Saúde,25.530.877,11.258.072,53.132,36.842.081,2018
Hospital Geral de Promissão,Coordenadoria de Serviços de Saúde,25.716.405,10.534.454,57.458,36.308.318,2018
Centro de Reabilitação de Casa Branca,Coordenadoria de Serviços de Saúde,29.617.509,5.584.328,203.105,35.404.942,2018
Instituto Lauro de Souza Lima,Coordenadoria de Serviços de Saúde,22.158.837,11.348.005,245.465,33.752.307,2018
DRS XI Presidente Prudente,Coordenadoria de Regiões de Saúde,12.927.215,20.199.333,5.809,33.132.357,2018
DRS XVII Taubaté,Coordenadoria de Regiões de Saúde,16.532.009,16.307.410,0,32.839.419,2018
CAIS - Santa Rita do Passa Quatro,Coordenadoria de Serviços de Saúde,26.101.531,6.620.746,59.179,32.781.456,2018
Hospital Estadual de Presidente Prudente,Coordenadoria de Serviços de Saúde,24.084.493,6.947.701,58.364,31.090.558,2018
Hospital das Clínicas de Marília,HC Marilia,185.520,28.524.095,2.097.840,30.807.455,2018
Hospital Estadual Dr. Oswaldo B. Faria,Coordenadoria de Serviços de Saúde,22.598.238,7.276.332,194.776,30.069.346,2018
Grupo de Gerenciamento Administrativo,Coordenadoria de Controle de Doenças,14.156.676,15.591.061,306.470,30.054.207,2018
DRS X Piracicaba,Coordenadoria de Regiões de Saúde,10.738.825,19.220.624,3.177,29.962.626,2018
DRS IV B.Santista,Coordenadoria de Regiões de Saúde,13.325.076,16.170.035,2.413,29.497.524,2018
Hospital Dr. Francisco Ribeiro Arantes,Coordenadoria de Serviços de Saúde,16.983.703,12.263.145,195.349,29.442.197,2018
CAISM - Phillipe Pinel,Coordenadoria de Serviços de Saúde,23.299.180,5.424.327,94.226,28.817.732,2018
DRS VIII Franca,Coordenadoria de Regiões de Saúde,9.428.545,19.372.791,5.450,28.806.786,2018
DRS V Barretos,Coordenadoria de Regiões de Saúde,9.349.994,18.477.465,0,27.827.459,2018
DRS II Araçatuba,Coordenadoria de Regiões de Saúde,12.048.643,14.678.814,19.826,26.747.284,2018
DRS XIV S.J.Boa Vista,Coordenadoria de Regiões de Saúde,11.159.554,14.697.239,34.379,25.891.172,2018
Hospital - Agua Funda,Coordenadoria de Serviços de Saúde,19.604.935,5.075.179,79.109,24.759.224,2018
Grupo de Resgate e Atenção as Urgenc. Emergenc.,Coordenadoria de Serviços de Saúde,17.615.666,6.981.211,4.200,24.601.077,2018
CAIS - Profº Cantídio de Moura Campos,Coordenadoria de Serviços de Saúde,19.170.235,3.150.478,72.229,22.392.942,2018
DRS III Araraquara,Coordenadoria de Regiões de Saúde,9.238.360,13.063.249,67.599,22.369.209,2018
Gabinete do Coordenador CRS,Coordenadoria de Regiões de Saúde,12.012.455,8.596.573,148.689,20.757.717,2018
Hospital Nestor Goulart Reis,Coordenadoria de Serviços de Saúde,13.284.663,4.696.085,47.113,18.027.861,2018
Gabinete do Coordenador - CSS,Coordenadoria de Serviços de Saúde,9.617.484,7.587.535,3.028,17.208.046,2018
CEDEME,Coordenadoria de Serviços de Saúde,15.291.574,9.511,0,15.301.086,2018
Instituto de Geriatria e Gerontologia,Coordenadoria de Serviços de Saúde,12.114.139,2.041.158,9.552,14.164.848,2018
CRATOD,Coordenadoria de Serviços de Saúde,7.609.794,4.154.092,52.445,11.816.332,2018
CCD - Gabinete do Coordenador,Coordenadoria de Controle de Doenças,7.144.210,4.099.978,557.176,11.801.364,2018
Instituto Pasteur,Coordenadoria de Controle de Doenças,7.581.264,3.842.427,38.047,11.461.738,2018
DRS XII Registro,Coordenadoria de Regiões de Saúde,9.656.893,1.624.480,0,11.281.373,2018
Centro Pioneiro em Atenção Psicossocial-AJJE,Coordenadoria de Serviços de Saúde,8.895.862,1.982.701,33.130,10.911.694,2018
Instituto de Saúde,Coordenadoria de Insumos Estratégicos,9.633.764,1.150.050,51.498,10.835.312,2018
Fundação Oncocentro,Oncocentro,7.259.016,2.894.925,0,10.153.941,2018
Hospital Brigadeiro,Coordenadoria de Serviços de Saúde,9.763.068,0,0,9.763.068,2018
Instituto Clemente Ferreira,Coordenadoria de Serviços de Saúde,6.471.587,1.894.921,28.360,8.394.868,2018
Fesima - Conselho Administrativo,Fesima,0,8.221.107,17.290,8.238.397,2018
Coordenadoria de Planejamento de Saúde,Administração Superior Secretaria e Sede,4.295.352,5.450,0,4.300.802,2018
CCTIES - Gabinete do Coordenador,Coordenadoria de Insumos Estratégicos,3.706.643,1.315,450,3.708.408,2018
,Coordenadoria de Serviços de Saúde,3.019.275,0,0,3.019.275,2018
,Coordenadoria de Serviços de Saúde,2.463.036,0,0,2.463.036,2018
Total,Total,5.463.562.850,9.746.981.668,644.630.185,15.855.174.702,2018
