UGE,UO,Pessoal/Encargos Sociais,Custeio,Investimento,Total,ano
Centro de Referência da Saúde da Mulher,Coordenadoria de Serviços de Saúde,26.543.166,15.401.651,2.240,41.947.057,2019
Hospital Guilherme Álvaro,Coordenadoria de Serviços de Saúde,29.350.370,12.400.083,11.753,41.762.207,2019
BID,Administração Superior Secretaria e Sede,0,0,40.487.212,40.487.212,2019
Hospital Geral de Taipas,Coordenadoria de Serviços de Saúde,21.524.115,17.047.639,540.308,39.112.062,2019
Instituto Adolfo Lutz,Coordenadoria de Controle de Doenças,34.354.605,4.348.195,12.600,38.715.400,2019
Hospital Geral de Vila Nova Cachoeirinha,Coordenadoria de Serviços de Saúde,25.570.213,12.925.997,41.580,38.537.790,2019
Hospital Regional de Osasco,Coordenadoria de Serviços de Saúde,26.200.721,11.184.774,51.400,37.436.895,2019
Hospital Geral de São Mateus,Coordenadoria de Serviços de Saúde,28.789.292,8.571.784,31.678,37.392.754,2019
Hospital Geral de Guaianases.,Coordenadoria de Serviços de Saúde,16.593.198,17.412.985,306.170,34.312.353,2019
Instituto Butantan,Coordenadoria de Insumos Estratégicos,20.345.106,13.489.352,0,33.834.457,2019
HOSP. GERAL DR.JOSE PANGELLA DE VILA PENTEADO,Coordenadoria de Serviços de Saúde,22.547.662,9.524.732,242.350,32.314.745,2019
Superintendência de Controle de Endemias - SUCEN,Sucen,25.382.720,4.316.126,0,29.698.846,2019
Complexo Hospitalar Padre Bento,Coordenadoria de Serviços de Saúde,21.377.810,7.222.051,28.000,28.627.861,2019
CERAPC,Coordenadoria de Serviços de Saúde,19.247.626,8.665.538,459.215,28.372.378,2019
Conjunto Hospitalar de Sorocaba,Coordenadoria de Serviços de Saúde,27.390.619,708.629,0,28.099.248,2019
DGAC,Coordenadoria de Serviços de Saúde,13.677.985,14.159.874,90.815,27.928.674,2019
Hospital Infantil Darcy Vargas,Coordenadoria de Serviços de Saúde,18.385.020,6.739.347,176.807,25.301.175,2019
Fundação Pró-Sangue Hemocentro,Hemocentro,12.916.278,12.114.957,5.180,25.036.415,2019
Hospital e Maternidade Leonor M. Barros,Coordenadoria de Serviços de Saúde,17.915.149,5.840.530,128.545,23.884.225,2019
Complexo Hospitalar do Juquery,Coordenadoria de Serviços de Saúde,17.333.271,6.350.100,28.407,23.711.778,2019
Hospital - Assis,Coordenadoria de Serviços de Saúde,17.688.490,5.746.576,83.252,23.518.318,2019
DRS XIII Ribeirão Preto,Coordenadoria de Regiões de Saúde,5.472.419,17.912.254,0,23.384.673,2019
DRS VII Campinas,Coordenadoria de Regiões de Saúde,6.915.617,16.417.696,0,23.333.314,2019
DRS XV São J. Rio Preto,Coordenadoria de Regiões de Saúde,8.057.030,13.241.603,0,21.298.633,2019
Centro de Referência e Treinamento DST/AIDS,Coordenadoria de Controle de Doenças,14.181.451,6.959.097,130.050,21.270.598,2019
Hospital Infantil Cândido Fontoura,Coordenadoria de Serviços de Saúde,15.520.989,4.847.505,77.197,20.445.692,2019
DRS VI Bauru,Coordenadoria de Regiões de Saúde,8.611.817,11.165.824,0,19.777.642,2019
Centro de Vigilância Sanitária,Coordenadoria de Controle de Doenças,18.219.175,1.074.797,0,19.293.972,2019
DRS IX Marilia,Coordenadoria de Regiões de Saúde,5.817.317,11.552.221,659,17.370.196,2019
Hospital e Maternidade Interlagos,Coordenadoria de Serviços de Saúde,11.043.832,5.883.687,29.500,16.957.020,2019
Centro de Vigilância Epidemiológica,Coordenadoria de Controle de Doenças,14.546.658,921.994,0,15.468.652,2019
DRS XVI Sorocaba,Coordenadoria de Regiões de Saúde,4.900.340,9.245.613,0,14.145.953,2019
CAIS - Clemente Ferreira,Coordenadoria de Serviços de Saúde,10.105.905,2.860.872,1.795,12.968.572,2019
Hospital Geral de Promissão,Coordenadoria de Serviços de Saúde,8.391.280,4.373.942,35.750,12.800.972,2019
DRS XI Presidente Prudente,Coordenadoria de Regiões de Saúde,4.025.132,8.718.523,0,12.743.654,2019
"Hospital Santa Tereza, Ribeirão Preto",Coordenadoria de Serviços de Saúde,8.049.250,4.518.491,17.015,12.584.756,2019
Hospital das Clínicas de Marília,HC Marilia,338.702,11.028.832,800.000,12.167.534,2019
Centro de Reabilitação de Casa Branca,Coordenadoria de Serviços de Saúde,9.464.670,2.468.374,62.752,11.995.796,2019
DRS X Piracicaba,Coordenadoria de Regiões de Saúde,3.475.693,8.496.063,0,11.971.756,2019
DRS XVII Taubaté,Coordenadoria de Regiões de Saúde,5.218.369,6.156.881,825,11.376.075,2019
Instituto Lauro de Souza Lima,Coordenadoria de Serviços de Saúde,7.182.382,4.037.050,35.000,11.254.432,2019
CAIS - Santa Rita do Passa Quatro,Coordenadoria de Serviços de Saúde,8.303.895,2.732.864,0,11.036.759,2019
Hospital Estadual de Presidente Prudente,Coordenadoria de Serviços de Saúde,7.908.346,2.816.135,2.559,10.727.040,2019
DRS IV B.Santista,Coordenadoria de Regiões de Saúde,4.242.262,6.241.209,30.195,10.513.666,2019
Hospital Estadual Dr. Oswaldo B. Faria,Coordenadoria de Serviços de Saúde,7.359.250,3.106.165,32.500,10.497.915,2019
CAISM - Phillipe Pinel,Coordenadoria de Serviços de Saúde,7.330.592,2.400.253,39.158,9.770.003,2019
DRS II Araçatuba,Coordenadoria de Regiões de Saúde,3.622.763,5.894.023,1.780,9.518.566,2019
DRS V Barretos,Coordenadoria de Regiões de Saúde,2.951.245,6.223.018,18.849,9.193.112,2019
DRS VIII Franca,Coordenadoria de Regiões de Saúde,3.174.465,5.878.789,0,9.053.254,2019
Grupo de Gerenciamento Administrativo,Coordenadoria de Controle de Doenças,4.509.381,4.334.231,0,8.843.612,2019
Hospital - Agua Funda,Coordenadoria de Serviços de Saúde,6.175.497,2.062.717,0,8.238.215,2019
Gabinete do Coordenador CRS,Coordenadoria de Regiões de Saúde,3.927.258,3.987.840,450,7.915.547,2019
DRS XIV S.J.Boa Vista,Coordenadoria de Regiões de Saúde,3.552.156,4.216.424,0,7.768.581,2019
Grupo de Resgate e Atenção as Urgenc. Emergenc.,Coordenadoria de Serviços de Saúde,6.628.495,703.278,420.000,7.751.773,2019
CAIS - Profº Cantídio de Moura Campos,Coordenadoria de Serviços de Saúde,6.102.005,1.434.214,44.190,7.580.409,2019
Hospital Dr. Francisco Ribeiro Arantes,Coordenadoria de Serviços de Saúde,4.041.002,3.421.352,0,7.462.354,2019
Gabinete do Coordenador - CSS,Coordenadoria de Serviços de Saúde,3.229.385,3.256.583,5.467,6.491.435,2019
Hospital Nestor Goulart Reis,Coordenadoria de Serviços de Saúde,4.447.485,1.880.213,4.410,6.332.108,2019
DRS III Araraquara,Coordenadoria de Regiões de Saúde,2.946.068,3.092.952,0,6.039.020,2019
Instituto de Geriatria e Gerontologia,Coordenadoria de Serviços de Saúde,3.904.526,719.281,0,4.623.807,2019
Hosp. Reab. Dr. Francisco Ribeiro Arantes,Coordenadoria de Serviços de Saúde,2.375.217,1.566.260,23.352,3.964.829,2019
CRATOD,Coordenadoria de Serviços de Saúde,2.410.241,1.515.219,2.589,3.928.049,2019
CEDEME,Coordenadoria de Serviços de Saúde,3.712.916,177.799,0,3.890.715,2019
Centro Pioneiro em Atenção Psicossocial-AJJE,Coordenadoria de Serviços de Saúde,3.021.555,746.488,4.040,3.772.083,2019
DRS XII Registro,Coordenadoria de Regiões de Saúde,3.094.631,369.739,441,3.464.811,2019
Instituto de Saúde,Coordenadoria de Insumos Estratégicos,3.027.609,227.815,0,3.255.423,2019
Hospital Brigadeiro,Coordenadoria de Serviços de Saúde,3.110.544,75.862,0,3.186.405,2019
Fundação Oncocentro,Oncocentro,2.316.896,856.550,9.075,3.182.521,2019
CCD - Gabinete do Coordenador,Coordenadoria de Controle de Doenças,2.268.680,824.736,285,3.093.701,2019
Instituto Pasteur,Coordenadoria de Controle de Doenças,2.392.137,464.762,3.397,2.860.296,2019
Instituto Clemente Ferreira,Coordenadoria de Serviços de Saúde,1.976.551,455.395,10.057,2.442.003,2019
Fesima - Conselho Administrativo,Fesima,0,2.151.496,879,2.152.375,2019
Coordenadoria de Planejamento de Saúde,Administração Superior Secretaria e Sede,1.501.313,16.534,0,1.517.847,2019
CCTIES - Gabinete do Coordenador,Coordenadoria de Insumos Estratégicos,1.146.083,17.891,0,1.163.974,2019
,Coordenadoria de Serviços de Saúde,928.361,14.827,0,943.187,2019
,Coordenadoria de Serviços de Saúde,658.572,14.489,0,673.062,2019
Total,Total,1.578.467.665,3.684.897.650,76.086.140,5.339.451.456,2019
