UGE,UO,Pessoal/Encargos Sociais,Custeio,Investimento,Total,ano
DRS VIII Franca,Coordenadoria de Regiões de Saúde,10.784.696,9.400.441,65.183,20.250.320,2013
Hospital - Agua Funda,Coordenadoria de Serviços de Saúde,14.055.943,4.040.668,423.255,18.519.866,2013
Grupo de Gerenciamento Administrativo,Coordenadoria de Controle de Doenças,11.212.524,6.175.282,891.414,18.279.219,2013
DRS XIV S.J.Boa Vista,Coordenadoria de Regiões de Saúde,10.496.670,6.978.121,127.245,17.602.036,2013
DRS V Barretos,Coordenadoria de Regiões de Saúde,8.300.550,7.903.727,171.045,16.375.323,2013
CAIS - Profº Cantídio de Moura Campos,Coordenadoria de Serviços de Saúde,12.749.070,2.187.442,449.089,15.385.601,2013
DRS III Araraquara,Coordenadoria de Regiões de Saúde,8.844.469,5.883.982,129.301,14.857.752,2013
Hospital Nestor Goulart Reis,Coordenadoria de Serviços de Saúde,10.081.398,3.475.574,204.724,13.761.696,2013
Instituto de Geriatria e Gerontologia,Coordenadoria de Serviços de Saúde,9.880.674,1.898.700,327.766,12.107.141,2013
CEDEME,Coordenadoria de Serviços de Saúde,9.945.737,1.485.207,7.160,11.438.105,2013
Gabinete do Coordenador CRS,Coordenadoria de Regiões de Saúde,5.399.493,3.605.273,2.409.656,11.414.422,2013
Hospital Brigadeiro,Coordenadoria de Serviços de Saúde,10.886.388,0,0,10.886.388,2013
DRS XII Registro,Coordenadoria de Regiões de Saúde,9.005.088,1.364.392,98.240,10.467.720,2013
Instituto de Saúde,Coordenadoria de Insumos Estratégicos,8.322.951,808.076,210.680,9.341.707,2013
Fundação Oncocentro,Oncocentro,6.360.729,2.719.633,167.251,9.247.613,2013
Instituto Clemente Ferreira,Coordenadoria de Serviços de Saúde,5.135.174,2.713.137,1.091.562,8.939.873,2013
Instituto Pasteur,Coordenadoria de Controle de Doenças,6.688.941,1.698.898,244.425,8.632.263,2013
Fesima - Conselho Administrativo,Fesima,0,8.256.243,17.813,8.274.056,2013
CRATOD,Coordenadoria de Serviços de Saúde,5.587.283,1.972.311,0,7.559.594,2013
CCD - Gabinete do Coordenador,Coordenadoria de Controle de Doenças,5.576.882,1.934.385,23.631,7.534.897,2013
Centro Pioneiro em Atenção Psicossocial-AJJE,Coordenadoria de Serviços de Saúde,4.495.271,1.448.325,517.968,6.461.564,2013
Coordenadoria de Planejamento de Saúde,Administração Superior Secretaria e Sede,3.963.778,104.556,0,4.068.335,2013
,Coordenadoria de Serviços de Saúde,3.800.792,0,0,3.800.792,2013
,Coordenadoria de Serviços de Saúde,3.622.088,0,0,3.622.088,2013
Hospital Manoel de Abreu,Coordenadoria de Serviços de Saúde,13.653,0,0,13.653,2013
Total,Total,4.381.962.728,6.340.649.205,427.573.620,11.150.185.553,2013
