OSS,Gerenciadora atual,Contratado,Pago,ano
CEAC Zona Sul,AFIP - Produção,443.0,432.0,2018
SEDI I,FIDI,787.0,419.0,2018
AME Maria Zelia,SPDM,432.0,406.0,2018
Instituto Lucy Montouro,Fundação Faculdade de Medicina,404.0,389.0,2018
CEAC Zona Leste,SPDM,357.0,364.0,2018
Maternidade Santa Isabel,FAMESP,320.0,337.0,2018
Hospital João Paulo II,Lar São Francisco,318.0,313.0,2018
HOSP. PIRACICABA,UNICAMP,400.0,309.0,2018
AME Zona Leste,Casa de Saúde Sta. Marcelina,284.0,288.0,2018
CRSM de Ribeirão Preto,FAEPA,255.0,277.0,2018
Hospital Ribeirão Preto,FAEPA,310.0,275.0,2018
AME São Jose do Rio Preto,Lar São Francisco,265.0,270.0,2018
CEADIS,SECONCI,209.0,241.0,2018
AME Presidente Prudente,Lar São Francisco,219.0,228.0,2018
AME Votuporanga,Santa Casa - Votuporanga,242.0,207.0,2018
Hospital Porto Primavera,Lar São Francisco,205.0,204.0,2018
AME Bourroul,SECONCI,227.0,201.0,2018
AME Caraguatatuba,SECONCI,209.0,198.0,2018
AME Praia Grande,Fundação ABC,206.0,195.0,2018
AME Santos,Cruzada Bandeirante São Camilo,197.0,193.0,2018
AME Araçatuba,Santa Casa - Andradina,206.0,191.0,2018
Instituto Emilio Ribas II,Fundação ABC,210.0,187.0,2018
CRI Zona Norte,Associação Santa Catarina,174.0,180.0,2018
AME Jardim dos Prados,Cruzada Bandeirante São Camilo,189.0,173.0,2018
AME Atibaia,Lar São Francisco,180.0,173.0,2018
AME Franca,Santa Casa - Franca,192.0,167.0,2018
HOSPITAL DE REGIONAL DE REGISTRO,Instituto Socrates Guanaes - ISG,500.0,165.0,2018
AME Andradina,Santa Casa - Andradina,159.0,159.0,2018
AME Santo André,Fundação ABC,177.0,158.0,2018
AME Dracena,Santa Casa - Dracena,151.0,157.0,2018
AME Carapicuiba,Cruzada Bandeirante São Camilo,171.0,154.0,2018
Conjunto Hospitalar de Sorocaba,SECONCI - SEDE,,152.0,2018
AME Itapevi,Associação Santa Catarina,155.0,143.0,2018
AME Ourinhos,Santa Casa - Assis,153.0,143.0,2018
AME Pariquera-Açú,Cruzada Bandeirante São Camilo,164.0,140.0,2018
AME Sorocaba,SECONCI,190.0,138.0,2018
AME Bauru,FAMESP,145.0,138.0,2018
AME Interlagos,Sirío Libanês,148.0,137.0,2018
AME Itapetininga,FAMESP,131.0,133.0,2018
AME Rio Claro,UNICAMP,126.0,132.0,2018
AME Tupã,FAMESP,152.0,132.0,2018
CAISM Franco da Rocha,Lar São Francisco,146.0,132.0,2018
AME Vila Maria,SPDM,128.0,131.0,2018
AME Jundiai,Cruzada Bandeirante São Camilo,141.0,129.0,2018
AME São Jose dos Campos,Instituto Socrates Guanaes - ISG,,128.0,2018
AME Promissão,Santa Casa - Andradina,119.0,120.0,2018
AME Mogi-Guaçu,UNICAMP,126.0,120.0,2018
AME Lorena,SECONCI,161.0,118.0,2018
AME Limeira,UNICAMP,118.0,115.0,2018
AME Jales,Santa Casa - Votuporanga,113.0,111.0,2018
AME Santa Bárbara d`Oeste,UNICAMP,118.0,110.0,2018
AME Itapeva,Santa Casa - Itapeva,112.0,109.0,2018
AME Taboão da Serra,SPDM,104.0,109.0,2018
AME Barretos Geral,Fundação PIO XII,114.0,108.0,2018
AME Assis,Santa Casa - Assis,122.0,108.0,2018
AME Casa Branca,CONDERG,106.0,107.0,2018
AME Mauá,Fundação ABC,109.0,105.0,2018
AME São João da Boa Vista,UNICAMP,107.0,104.0,2018
AME Amparo,UNICAMP,75.0,104.0,2018
AME Mogi das Cruzes,SPDM,108.0,103.0,2018
Rede L. Montoro S. J. Rio Preto,FUNFARME,107.0,99.0,2018
Pai Zona Norte,SPDM,141.0,99.0,2018
AME SÃO VICENTE,SECONCI,100.0,99.0,2018
AME Piracicaba,UNICAMP,96.0,97.0,2018
AME Idoso Oeste,SPDM,97.0,96.0,2018
AME Itú,Cruzada Bandeirante São Camilo,99.0,96.0,2018
Helvetia,SPDM,161.0,89.0,2018
AME Idoso Sudeste,SPDM,100.0,88.0,2018
AME Santa Fé do Sul,Santa Casa - Votuporanga,89.0,87.0,2018
AME Barretos (CIRURGICO),Fundação PIO XII,80.0,85.0,2018
Rede L. Montoro São J. Campos,SPDM,83.0,84.0,2018
AME Ituverava,Santa Casa - Ituverava,81.0,82.0,2018
AME São Jose dos Campos,SPDM,198.0,80.0,2018
Pai Baixada Santista,Cruzada Bandeirante São Camilo,77.0,77.0,2018
AME SÃO CARLOS,SANTA CASA - MARÍLIA,90.0,69.0,2018
AME TAQUARITINGA,Santa Casa - Franca,100.0,64.0,2018
Rede L. Montoro Santos,Cruzada Bandeirante São Camilo,46.0,60.0,2018
Rede L. Montoro Mogi Mirm,Sirío Libanês,64.0,60.0,2018
REDE LUCY MONTORO DE SOROCABA,Banco de Olhos de Sorocaba,36.0,55.0,2018
Ame Botucatu,Santa Casa - Andradina,100.0,55.0,2018
AME Catanduva,Fundação Padre Albino,86.0,52.0,2018
AME Fernandopolis,Santa Casa - Andradina,43.0,48.0,2018
AME Sorocaba,Santa Casa de Misericórdia de Pacaembu,,45.0,2018
Rede L. Montoro Pariquera Açú,Cruzada Bandeirante São Camilo,19.0,36.0,2018
Pai Zona Norte,Banco de Olhos de Sorocaba,,33.0,2018
Rede L. Montoro Fernandopolis,Santa Casa - Andradina,25.0,24.0,2018
Rede Lucy Montoro Botucatu,FAMESP,60.0,18.0,2018
Hospital Manuel de Abreu,FAMESP,6.0,3.0,2018
Total,Total,5.3884,5.1446,2018
