OSS,Gerenciadora atual,Contratado,Pago,ano
AME São Jose do Rio Preto,Lar São Francisco,,282.0,2019
CEADIS,SECONCI,,272.0,2019
AME Sorocaba,Santa Casa de Misericórdia de Pacaembu,,243.0,2019
Hospital Universitário de Taubaté,SOCIEDADE SÃO CAMILO,,224.0,2019
AME Presidente Prudente,Lar São Francisco,,219.0,2019
Instituto Emilio Ribas II,Fundação ABC,,218.0,2019
Hospital Porto Primavera,Lar São Francisco,,216.0,2019
Hospital Carapicuiba,Cruzada Bandeirante São Camilo,,208.0,2019
AME Bourroul,SECONCI,,205.0,2019
AME Caraguatatuba,SECONCI,,199.0,2019
AME Votuporanga,Santa Casa - Votuporanga,,196.0,2019
AME São Jose dos Campos,Instituto Socrates Guanaes - ISG,,196.0,2019
AME Praia Grande,Fundação ABC,,192.0,2019
AME Araçatuba,Santa Casa - Andradina,,186.0,2019
AME SÃO VICENTE,SECONCI,,180.0,2019
AME Atibaia,Lar São Francisco,,175.0,2019
CRI Zona Norte,Associação Santa Catarina,,174.0,2019
AME Santo André,Fundação ABC,,174.0,2019
AME Jardim dos Prados,Cruzada Bandeirante São Camilo,,171.0,2019
AME Dracena,Santa Casa - Dracena,,171.0,2019
AME Franca,Santa Casa - Franca,,168.0,2019
AME Andradina,Santa Casa - Andradina,,164.0,2019
AME Santos,Santa Casa de Misericórdia de Pacaembu,,157.0,2019
AME Itapevi,Associação Santa Catarina,,153.0,2019
AME Bauru,FAMESP,,144.0,2019
AME Ourinhos,Santa Casa - Assis,,144.0,2019
CAISM Franco da Rocha,Lar São Francisco,,144.0,2019
Pai Zona Norte,SPDM,,144.0,2019
AME Interlagos,Sirío Libanês,,139.0,2019
AME Jundiai,Cruzada Bandeirante São Camilo,,138.0,2019
AME Lorena,SECONCI,,134.0,2019
AME Itapetininga,FAMESP,,132.0,2019
AME Rio Claro,UNICAMP,,130.0,2019
AME Pariquera-Açú,Cruzada Bandeirante São Camilo,,129.0,2019
AME Limeira,UNICAMP,,129.0,2019
AME Tupã,FAMESP,,125.0,2019
AME Promissão,Santa Casa - Andradina,,117.0,2019
AME Itapeva,Santa Casa - Itapeva,,116.0,2019
AME Santa Bárbara d`Oeste,UNICAMP,,111.0,2019
AME Idoso Oeste,SPDM,,108.0,2019
AME São João da Boa Vista,UNICAMP,,108.0,2019
AME Mauá,Fundação ABC,,108.0,2019
AME Mogi das Cruzes,SPDM,,108.0,2019
AME Taboão da Serra,SPDM,,108.0,2019
AME Vila Maria,SPDM,,108.0,2019
Helvetia,SPDM,,107.0,2019
Ame Botucatu,Santa Casa - Andradina,,105.0,2019
AME TAQUARITINGA,Santa Casa - Franca,,103.0,2019
Rede L. Montoro S. J. Rio Preto,FUNFARME,,102.0,2019
AME Barretos Geral,Fundação PIO XII,,102.0,2019
AME Itú,Cruzada Bandeirante São Camilo,,101.0,2019
AME Jales,Santa Casa - Votuporanga,,98.0,2019
AME Mogi-Guaçu,UNICAMP,,96.0,2019
AME Assis,Santa Casa - Assis,,96.0,2019
AME Amparo,UNICAMP,,96.0,2019
AME SÃO CARLOS,SANTA CASA - MARÍLIA,,91.0,2019
AME Piracicaba,UNICAMP,,91.0,2019
Hospital Francisco Morato,CENTRO DE ESTUDOS E PESQUISA DR JOÃO AMORIM,,86.0,2019
AME Idoso Sudeste,SPDM,,85.0,2019
AME Santa Fé do Sul,Santa Casa - Votuporanga,,84.0,2019
Rede L. Montoro São J. Campos,SPDM,,79.0,2019
AME Barretos (CIRURGICO),Fundação PIO XII,,79.0,2019
AME Ituverava,Santa Casa - Ituverava,,72.0,2019
AME Catanduva,Fundação Padre Albino,,72.0,2019
AME Carapicuiba,Cruzada Bandeirante São Camilo,,71.0,2019
AME Carapicuiba,Santa Casa de Misericórdia de Pacaembu,,65.0,2019
Rede L. Montoro Mogi Mirm,Sirío Libanês,,65.0,2019
AME Casa Branca,Fundação Civil Casa Misericórdia de Franca,,61.0,2019
AME Fernandopolis,Santa Casa - Andradina,,48.0,2019
REDE LUCY MONTORO DE SOROCABA,Banco de Olhos de Sorocaba,,47.0,2019
Pai Baixada Santista,Santa Casa de Misericórdia de Pacaembu,,42.0,2019
Pai Baixada Santista,Cruzada Bandeirante São Camilo,,38.0,2019
Rede L. Montoro Fernandopolis,Santa Casa - Andradina,,36.0,2019
AME CAMPINAS,Santa Casa - Franca,,35.0,2019
AME Casa Branca,CONDERG,,35.0,2019
Rede L. Montoro Santos,Santa Casa de Misericórdia de Pacaembu,,32.0,2019
AME Santos,Cruzada Bandeirante São Camilo,,31.0,2019
Rede L. Montoro Santos,Cruzada Bandeirante São Camilo,,21.0,2019
Rede L. Montoro Pariquera Açú,Cruzada Bandeirante São Camilo,,18.0,2019
Rede Lucy Montoro Botucatu,FAMESP,,17.0,2019
AME Itapevi,Fundação ABC,,13.0,2019
Rede L. Montoro Pariquera Açú,Santa Casa - Andradina,,12.0,2019
Total,Total,0.0,5.674,2019
