OSS,Gerenciadora atual,Contratado,Pago,ano
AME Dracena,Santa Casa - Dracena,,112.0,2014
AME Sorocaba,SECONCI,,111.0,2014
AME Limeira,UNICAMP,,107.0,2014
AME Itapetininga,FAMESP,,104.0,2014
AME Promissão,Santa Casa - Andradina,,103.0,2014
AME Mogi-Guaçu,UNICAMP,,101.0,2014
AME Itapeva,Santa Casa - Itapeva,,99.0,2014
AME Ourinhos,Santa Casa - Assis,,98.0,2014
Hospital Manuel de Abreu,FAMESP,,96.0,2014
AME Caraguatatuba,SECONCI,,96.0,2014
AME Barretos (CIRURGICO),Fundação PIO XII,,95.0,2014
AME Casa Branca,CONDERG,,92.0,2014
AME Vila Maria,SPDM,,91.0,2014
AME Mauá,Fundação ABC,,90.0,2014
AME São João da Boa Vista,UNICAMP,,90.0,2014
AME Santa Fé do Sul,Santa Casa - Votuporanga,,87.0,2014
AME Assis,Santa Casa - Assis,,87.0,2014
AME Piracicaba,UNICAMP,,85.0,2014
AME Taboão da Serra,SPDM,,84.0,2014
AME Jundiai,Cruzada Bandeirante São Camilo,,83.0,2014
AME Catanduva,Fundação Padre Albino,,83.0,2014
AME Mogi das Cruzes,SPDM,,81.0,2014
Instituto Emilio Ribas II,Fundação ABC,,79.0,2014
AME Barretos Geral,Fundação PIO XII,,77.0,2014
Rede L. Montoro São J. Campos,SPDM,,76.0,2014
AME Itú,Cruzada Bandeirante São Camilo,,72.0,2014
AME Jales,Santa Casa - Votuporanga,,66.0,2014
Hospital Francisco Morato,Fundação ABC,,65.0,2014
AME Ituverava,Santa Casa - Ituverava,,62.0,2014
Hospital Franco da Rocha,Lar São Francisco,,62.0,2014
Helvetia,SPDM,,58.0,2014
Pai Baixada Santista,Cruzada Bandeirante São Camilo,,57.0,2014
Hospital Penitenciario,Fundação ABC,,57.0,2014
Rede L. Montoro Mogi Mirm,Sirío Libanês,,57.0,2014
Hospital Jundiaí,Sirío Libanês,,51.0,2014
AME Pariquera-Açú,Cruzada Bandeirante São Camilo,,50.0,2014
AME Fernandopolis,Santa Casa - Franca,,45.0,2014
Rede L. Montoro Fernandopolis,Santa Casa - Franca,,36.0,2014
AME Bourroul,SECONCI,,36.0,2014
Rede L. Montoro Santos,Cruzada Bandeirante São Camilo,,35.0,2014
Rede L. Montoro Pariquera Açú,Cruzada Bandeirante São Camilo,,14.0,2014
Total,Total,0.0,3.6127,2014
