OSS,Gerenciadora atual,Contratado,Pago,ano
AME Presidente Prudente,Lar São Francisco,212.0,217.0,2017
AME Bourroul,SECONCI,219.0,216.0,2017
AME Caraguatatuba,SECONCI,202.0,209.0,2017
AME Praia Grande,Fundação ABC,199.0,208.0,2017
AME Araçatuba,Santa Casa - Andradina,199.0,206.0,2017
CEADIS,SECONCI,202.0,204.0,2017
Hospital Porto Primavera,Lar São Francisco,198.0,204.0,2017
Instituto Emilio Ribas II,Fundação ABC,203.0,203.0,2017
AME Franca,Santa Casa - Franca,186.0,193.0,2017
AME São Jose dos Campos,SPDM,191.0,192.0,2017
AME Santos,Cruzada Bandeirante São Camilo,191.0,192.0,2017
AME Atibaia,Lar São Francisco,174.0,183.0,2017
AME Sorocaba,SECONCI,183.0,181.0,2017
AME Jardim dos Prados,Cruzada Bandeirante São Camilo,182.0,181.0,2017
AME Santo André,Fundação ABC,171.0,169.0,2017
AME Carapicuiba,Cruzada Bandeirante São Camilo,165.0,169.0,2017
CRI Zona Norte,Associação Santa Catarina,168.0,168.0,2017
AME Andradina,Santa Casa - Andradina,154.0,164.0,2017
Hospital Itanhaem,Cruzada Bandeirante São Camilo,325.0,162.0,2017
AME Pariquera-Açú,Cruzada Bandeirante São Camilo,159.0,158.0,2017
AME Lorena,SECONCI,155.0,157.0,2017
Helvetia,SPDM,156.0,156.0,2017
AME Itapevi,Associação Santa Catarina,149.0,153.0,2017
AME Dracena,Santa Casa - Dracena,146.0,147.0,2017
AME Interlagos,Sirío Libanês,143.0,146.0,2017
AME Tupã,FAMESP,147.0,144.0,2017
CAISM Franco da Rocha,Lar São Francisco,141.0,144.0,2017
AME Bauru,FAMESP,140.0,143.0,2017
AME Ourinhos,Santa Casa - Assis,147.0,141.0,2017
Pai Zona Norte,Banco de Olhos de Sorocaba,137.0,138.0,2017
AME Jundiai,Cruzada Bandeirante São Camilo,136.0,137.0,2017
AME Itapetininga,FAMESP,127.0,133.0,2017
AME Promissão,Santa Casa - Andradina,115.0,126.0,2017
AME Rio Claro,UNICAMP,121.0,121.0,2017
AME Mogi-Guaçu,UNICAMP,121.0,120.0,2017
AME Vila Maria,SPDM,123.0,120.0,2017
AME Santa Bárbara d`Oeste,UNICAMP,114.0,120.0,2017
AME Limeira,UNICAMP,114.0,117.0,2017
AME Assis,Santa Casa - Assis,118.0,115.0,2017
AME Mauá,Fundação ABC,106.0,113.0,2017
AME Jales,Santa Casa - Votuporanga,109.0,112.0,2017
AME São João da Boa Vista,UNICAMP,104.0,109.0,2017
AME Itapeva,Santa Casa - Itapeva,108.0,109.0,2017
AME Barretos Geral,Fundação PIO XII,111.0,109.0,2017
AME Mogi das Cruzes,SPDM,105.0,108.0,2017
Rede L. Montoro S. J. Rio Preto,FUNFARME,103.0,107.0,2017
AME Casa Branca,CONDERG,102.0,106.0,2017
AME Piracicaba,UNICAMP,93.0,98.0,2017
AME Itú,Cruzada Bandeirante São Camilo,96.0,96.0,2017
AME Taboão da Serra,SPDM,101.0,96.0,2017
AME Santa Fé do Sul,Santa Casa - Votuporanga,86.0,84.0,2017
Rede L. Montoro São J. Campos,SPDM,80.0,84.0,2017
AME Idoso Sudeste,SPDM,97.0,84.0,2017
AME Ituverava,Santa Casa - Ituverava,79.0,83.0,2017
AME Catanduva,Fundação Padre Albino,83.0,83.0,2017
AME Idoso Oeste,SPDM,94.0,75.0,2017
AME Barretos (CIRURGICO),Fundação PIO XII,77.0,75.0,2017
Pai Baixada Santista,Cruzada Bandeirante São Camilo,75.0,72.0,2017
Rede L. Montoro Mogi Mirm,Sirío Libanês,62.0,55.0,2017
Rede L. Montoro Santos,Cruzada Bandeirante São Camilo,44.0,48.0,2017
AME Amparo,UNICAMP,72.0,39.0,2017
AME Fernandopolis,Santa Casa - Andradina,,24.0,2017
Rede L. Montoro Pariquera Açú,Cruzada Bandeirante São Camilo,18.0,24.0,2017
AME Fernandopolis,Santa Casa - Franca,42.0,18.0,2017
AME TAQUARITINGA,Santa Casa - Franca,,15.0,2017
Rede L. Montoro Fernandopolis,Santa Casa - Andradina,,12.0,2017
Rede L. Montoro Fernandopolis,Santa Casa - Franca,24.0,12.0,2017
Hospital Manuel de Abreu,FAMESP,6.0,12.0,2017
Total,Total,4.777,4.8572,2017
